criterion_id,test_id,wp,description,metric_key,operator,threshold_low,threshold_high,frozen,confirmatory,expected_direction,notes,justification,freeze_date,nature,campagne
CRIT-S1-050,S1-050,S1,Vérifier la robustesse des conclusions à la métrique de distance choisie.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-001,S2-001,S2,"Remplacer la cinétique de Monod par Hill, Contois, Haldane et Droop.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-002,S2-002,S2,Ajouter une ressource secondaire limitante.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-003,S2-003,S2,Ajouter plusieurs espèces concurrentes.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-004,S2-004,S2,Ajouter coopération et cross-feeding.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-005,S2-005,S2,Ajouter prédation ou phage.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-006,S2-006,S2,Ajouter bruit démographique.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-007,S2-007,S2,Ajouter bruit environnemental coloré.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-008,S2-008,S2,Ajouter délais et mémoire physiologique.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-009,S2-009,S2,Ajouter hétérogénéité spatiale.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-010,S2-010,S2,Ajouter biofilm et diffusion.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-011,S2-011,S2,Tester des pertes dépendantes de la densité.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-012,S2-012,S2,Tester des pertes pulsées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-013,S2-013,S2,Tester des pertes corrélées à la ressource.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-014,S2-014,S2,Rechercher les domaines où réduire une perte diminue la persistance globale par effet indirect.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-015,S2-015,S2,Comparer le résultat à des modèles de contrôle optimal.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-016,S2-016,S2,Tester le seuil de lavage sur données expérimentales de chémostat publiées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-017,S2-017,S2,Concevoir une expérience de laboratoire simple avec intervention préenregistrée.,,finite,,,False,True,,"Non gelé : données absentes, ou test non automatisable, ou métrique non produite par le moteur. Geler donnerait une couverture fictive.",,,,
CRIT-S2-018,S2-018,S2,Répliquer dans au moins deux espèces et deux milieux.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-019,S2-019,S2,Tester la généralisation hors chémostat.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S2-020,S2-020,S2,"Séparer clairement le théorème local, la robustesse structurelle et la validité biologique.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-001,S3-001,S3,Régénérer la carte avec `CLOS` et `INTG` instanciés.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-002,S3-002,S3,Vérifier automatiquement l’absence de cycles interdits.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-003,S3-003,S3,Vérifier la cohérence chronologique de chaque relation.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-004,S3-004,S3,Vérifier la compatibilité du type de relation avec les définitions.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-005,S3-005,S3,Faire coder les 47 relations par trois experts indépendants.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-006,S3-006,S3,Mesurer l’accord inter-évaluateurs.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-007,S3-007,S3,Publier les désaccords.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-008,S3-008,S3,Tester des relations candidates refusées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-009,S3-009,S3,Ajouter des contre-exemples pour chaque type de lien.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-010,S3-010,S3,Tester la stabilité de la carte lorsque les transitions incertaines sont retirées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-011,S3-011,S3,Tester la stabilité sous fusion ou division de transitions.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-012,S3-012,S3,"Mesurer centralité, modularité, chemins et goulets d’étranglement.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-013,S3-013,S3,Vérifier que les propriétés de graphe ne proviennent pas du choix manuel des nœuds.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-014,S3-014,S3,Comparer à des graphes nuls conservant le degré.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-015,S3-015,S3,Tester si la carte prédit correctement des relations masquées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-016,S3-016,S3,Comparer cette prédiction à des méthodes simples de proximité temporelle.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-017,S3-017,S3,Comparer à des graph embeddings.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-018,S3-018,S3,Tester la capacité à proposer des relations nouvelles qui seront ensuite validées par la littérature.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-019,S3-019,S3,Mesurer le taux de faux positifs.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-S3-020,S3-020,S3,Geler une version confirmatoire de la carte avant toute nouvelle recherche bibliographique.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-001,M1-001,M1,définir l’état antérieur,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-002,M1-002,M1,définir l’état postérieur,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-003,M1-003,M1,"définir les variables `n, G, I, E, Π, H`",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-004,M1-004,M1,dater la transition avec intervalle d’incertitude,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-005,M1-005,M1,lister les preuves directes,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-006,M1-006,M1,lister les preuves indirectes,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-007,M1-007,M1,lister les modèles concurrents,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-008,M1-008,M1,identifier le seuil ou la plage de transition,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-009,M1-009,M1,identifier la vitesse de variation,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-010,M1-010,M1,identifier les états devenus accessibles,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-011,M1-011,M1,identifier les états fermés,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-012,M1-012,M1,identifier les pertes,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-013,M1-013,M1,identifier les mécanismes de persistance,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-014,M1-014,M1,identifier les contre-exemples,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M1-015,M1-015,M1,attribuer un niveau de preuve par évaluateurs indépendants,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-001,M2-001,M2,Reproduire les abondances primordiales avec plusieurs codes publics.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-002,M2-002,M2,"Comparer aux observations de deutérium, hélium et lithium.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-003,M2-003,M2,Quantifier les incertitudes nucléaires.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-004,M2-004,M2,Tester l’effet des masses stellaires sur les rendements.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-005,M2-005,M2,"Tester métallicité, rotation et binarité.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-006,M2-006,M2,"Comparer supernovæ, étoiles AGB, fusions d’objets compacts et autres sources.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-007,M2-007,M2,Construire des histoires d’enrichissement différentes atteignant une métallicité finale comparable.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-008,M2-008,M2,Mesurer les différences de rapports isotopiques résiduels.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-009,M2-009,M2,Tester si l’histoire reste récupérable à partir de l’état final.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M2-010,M2-010,M2,Mesurer l’expansion du réseau de réactions accessible après chaque famille d’éléments.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-001,M3-001,M3,Construire un réseau chimique interstellaire versionné.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-002,M3-002,M3,"Tester température, densité, ionisation, UV et chocs.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-003,M3-003,M3,Comparer chimie gazeuse et chimie de surface.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-004,M3-004,M3,Tester la composition des grains.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-005,M3-005,M3,Tester l’épaisseur et la stratification des glaces.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-006,M3-006,M3,"Tester plusieurs ordres d’irradiation, chauffage et refroidissement.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-007,M3-007,M3,Rechercher des dépendances au chemin à état final macroscopique égal.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-008,M3-008,M3,Mesurer les molécules nouvellement accessibles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-009,M3-009,M3,Mesurer les molécules détruites ou rendues inaccessibles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-010,M3-010,M3,Comparer les prédictions aux inventaires moléculaires astronomiques.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-011,M3-011,M3,Tester la robustesse aux incertitudes de taux réactionnels.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-012,M3-012,M3,Faire une analyse globale de sensibilité.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-013,M3-013,M3,Identifier les réactions qui contrôlent le plus `Pacc`.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-014,M3-014,M3,Tester la généralisation à plusieurs nuages et disques.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M3-015,M3-015,M3,Répliquer avec un second réseau chimique indépendant.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-001,M4-001,M4,Reproduire plusieurs séquences de condensation à l’équilibre.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-002,M4-002,M4,"Faire varier pression, C/O, redox et composition.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-003,M4-003,M4,Ajouter cinétique et systèmes ouverts.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-004,M4-004,M4,Ajouter séparation gaz-solides.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-005,M4-005,M4,Ajouter transport radial.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-006,M4-006,M4,Tester plusieurs vitesses de refroidissement.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-007,M4-007,M4,"Comparer aux CAI, chondres et matrices météoritiques.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-008,M4-008,M4,Tester l’héritage présolaire.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-009,M4-009,M4,Mesurer les minéraux accessibles selon l’ordre des traitements.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-010,M4-010,M4,Rechercher des états finaux de composition globale proche mais de minéralogie différente.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-011,M4-011,M4,Mesurer la fermeture de voies par évaporation ou séquestration.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-012,M4-012,M4,Comparer aux bases de données minérales terrestres et météoritiques.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-013,M4-013,M4,Tester la croissance combinatoire du nombre de phases.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-014,M4-014,M4,Comparer cette croissance à des graphes chimiques nuls.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M4-015,M4-015,M4,Évaluer si ORI-C prédit mieux les phases observées qu’un simple gradient de volatilité.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-001,M5-001,M5,Masquer 20 % des transitions et tenter de les reconstruire avec ORI-C.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-002,M5-002,M5,Comparer à une chronologie descriptive simple.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-003,M5-003,M5,Comparer à un graphe causal standard.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-004,M5-004,M5,Comparer à un modèle de réseau sans histoire.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-005,M5-005,M5,Tester si les dimensions ORI-C améliorent la prédiction de la transition suivante.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-006,M5-006,M5,Tester si elles améliorent la prédiction des états fermés.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-007,M5-007,M5,Tester si elles améliorent l’inférence de l’histoire depuis l’état final.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-008,M5-008,M5,Tester la calibration probabiliste des prédictions.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-009,M5-009,M5,Répéter sur des sous-domaines indépendants.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-M5-010,M5-010,M5,Faire évaluer les prédictions à l’aveugle par des spécialistes.,,finite,,,False,True,,"Non gelé : données absentes, ou test non automatisable, ou métrique non produite par le moteur. Geler donnerait une couverture fictive.",,,,
CRIT-P1-001,P1-001,P1,"Compiler les isotopes Ti, Cr, Mo, W, Ni, Ru, Pd et autres traceurs disponibles.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-002,P1-002,P1,Tester la dichotomie carbonée et non carbonée par plusieurs méthodes de clustering.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-003,P1-003,P1,Quantifier l’incertitude de classification.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-004,P1-004,P1,Tester les météorites intermédiaires et les exceptions.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-005,P1-005,P1,Comparer plusieurs modèles de barrière dans le disque.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-006,P1-006,P1,Tester les scénarios de transport radial.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-007,P1-007,P1,Reconstruire les mélanges possibles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-008,P1-008,P1,Vérifier si la provenance améliore la prédiction de la composition finale des corps.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P1-009,P1-009,P1,Tester cette prédiction hors échantillon sur des groupes météoritiques masqués.,,finite,,,False,True,,"Non gelé : données absentes, ou test non automatisable, ou métrique non produite par le moteur. Geler donnerait une couverture fictive.",,,,
CRIT-P1-010,P1-010,P1,Comparer à un modèle fondé uniquement sur la distance au Soleil.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-001,P2-001,P2,"Compiler les chronomètres Al-Mg, Hf-W, Mn-Cr et Pb-Pb.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-002,P2-002,P2,Propager toutes les incertitudes de datation.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-003,P2-003,P2,Tester distribution homogène et hétérogène de l’aluminium 26.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-004,P2-004,P2,Simuler des corps de tailles et porosités variées.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-005,P2-005,P2,"Tester conduction, convection, fusion et migration des fluides.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-006,P2-006,P2,Comparer les prédictions aux achondrites et corps primitifs.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-007,P2-007,P2,Produire des paires à composition initiale semblable et dates différentes.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-008,P2-008,P2,"Mesurer l’effet causal sur fusion, différenciation et perte de volatils.",,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-009,P2-009,P2,Tester la capacité d’inférer la date d’accrétion depuis la structure finale.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P2-010,P2-010,P2,Comparer à des modèles thermiques standards sans variables ORI-C.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
CRIT-P3-001,P3-001,P3,Compiler les expériences de partage disponibles.,,finite,,,False,False,,À remplir et geler avant l'analyse confirmatoire.,,,,
