test_id,wp,section,description,decision,priorite_tri,role_ou_raison,confirmatory,mode,engine,required_datasets,technical_outcome,scientific_verdict,dataset_cible,cause_blocage,action,source_line
S1-035,S1,S1.4 Diagnostic `D-H-L`,Vérifier que les métriques restent séparables.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,158
S1-036,S1,S1.4 Diagnostic `D-H-L`,Tester la sensibilité au bruit et aux données manquantes.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,data_required,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,159
S1-037,S1,S1.4 Diagnostic `D-H-L`,Comparer plusieurs estimateurs du temps de relaxation.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,160
S1-038,S1,S1.4 Diagnostic `D-H-L`,Comparer plusieurs définitions de seuil aller-retour.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,161
S1-039,S1,S1.4 Diagnostic `D-H-L`,Tester la détection de pertes topologiques.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,162
S1-040,S1,S1.4 Diagnostic `D-H-L`,Vérifier que `L` distingue perte réelle et coût d’accès accru.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,163
S1-041,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Définir un estimateur opérationnel par domaine.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,167
S1-042,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Tester la dépendance à l’horizon `T`.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,168
S1-043,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Tester la dépendance aux ressources et contraintes `C`.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,169
S1-044,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Tester la dépendance au seuil probabiliste `ε`.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,170
S1-045,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`","Comparer échantillonnage Monte-Carlo, continuation numérique, méthodes de viabilité et apprentissage de variétés.",VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,171
S1-046,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Mesurer le volume accessible avant et après une transition.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,172
S1-047,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Mesurer les états nouvellement accessibles.,GARDER,P3,domaine des possibles / Pacc,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,173
S1-048,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Mesurer les états devenus inaccessibles.,GARDER,P3,domaine des possibles / Pacc,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,174
S1-049,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Mesurer le coût énergétique et temporel d’accès.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,175
S1-050,S1,"S1.5 `Pth` et `Pacc(T,C,ε)`",Vérifier la robustesse des conclusions à la métrique de distance choisie.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,automated,core_formal,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Acquérir/relier la donnée admissible : aucun_dataset_declare.,176
S2-001,S2,Test interventionnel du socle,"Remplacer la cinétique de Monod par Hill, Contois, Haldane et Droop.",VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,182
S2-002,S2,Test interventionnel du socle,Ajouter une ressource secondaire limitante.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,183
S2-003,S2,Test interventionnel du socle,Ajouter plusieurs espèces concurrentes.,VIRER,,"balayage exploratoire/paramétrique : intégrer comme robustesse, pas comme test autonome",False,laboratory,intervention,,not_run,not_applicable,,,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,184
S2-004,S2,Test interventionnel du socle,Ajouter coopération et cross-feeding.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,185
S2-005,S2,Test interventionnel du socle,Ajouter prédation ou phage.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,186
S2-006,S2,Test interventionnel du socle,Ajouter bruit démographique.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,187
S2-007,S2,Test interventionnel du socle,Ajouter bruit environnemental coloré.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,188
S2-008,S2,Test interventionnel du socle,Ajouter délais et mémoire physiologique.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,189
S2-009,S2,Test interventionnel du socle,Ajouter hétérogénéité spatiale.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,190
S2-010,S2,Test interventionnel du socle,Ajouter biofilm et diffusion.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,191
S2-011,S2,Test interventionnel du socle,Tester des pertes dépendantes de la densité.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,192
S2-012,S2,Test interventionnel du socle,Tester des pertes pulsées.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,193
S2-013,S2,Test interventionnel du socle,Tester des pertes corrélées à la ressource.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,194
S2-014,S2,Test interventionnel du socle,Rechercher les domaines où réduire une perte diminue la persistance globale par effet indirect.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,195
S2-015,S2,Test interventionnel du socle,Comparer le résultat à des modèles de contrôle optimal.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,196
S2-016,S2,Test interventionnel du socle,Tester le seuil de lavage sur données expérimentales de chémostat publiées.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,laboratory,intervention,,not_run,not_applicable,,,Exécuter humainement/laboratoire/externe sans modifier le critère.,197
S2-017,S2,Test interventionnel du socle,Concevoir une expérience de laboratoire simple avec intervention préenregistrée.,GARDER,P1,confirmatoire/préenregistré,True,laboratory,intervention,,not_run,not_applicable,,,Exécuter humainement/laboratoire/externe sans modifier le critère.,198
S2-018,S2,Test interventionnel du socle,Répliquer dans au moins deux espèces et deux milieux.,GARDER,P3,réplication indépendante,False,laboratory,intervention,,not_run,not_applicable,,,Exécuter humainement/laboratoire/externe sans modifier le critère.,199
S2-019,S2,Test interventionnel du socle,Tester la généralisation hors chémostat.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,laboratory,intervention,,not_run,not_applicable,,,Exécuter humainement/laboratoire/externe sans modifier le critère.,200
S2-020,S2,Test interventionnel du socle,"Séparer clairement le théorème local, la robustesse structurelle et la validité biologique.",VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,automated,intervention,,blocked,undetermined,aucun_dataset_declare,aucun_jeu_empirique_declare,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,201
S3-001,S3,Carte relationnelle et transitions,Régénérer la carte avec `CLOS` et `INTG` instanciés.,VIRER,,"simulation/synthétique : garde-fou méthodologique, pas preuve externe",False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,205
S3-002,S3,Carte relationnelle et transitions,Vérifier automatiquement l’absence de cycles interdits.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,206
S3-003,S3,Carte relationnelle et transitions,Vérifier la cohérence chronologique de chaque relation.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,207
S3-004,S3,Carte relationnelle et transitions,Vérifier la compatibilité du type de relation avec les définitions.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,208
S3-005,S3,Carte relationnelle et transitions,Faire coder les 47 relations par trois experts indépendants.,VIRER,,"préparation/documentation : nécessaire au travail, pas une preuve autonome",False,human_review,relation_graph,relations;states,not_run,not_applicable,,,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,209
S3-006,S3,Carte relationnelle et transitions,Mesurer l’accord inter-évaluateurs.,VIRER,,"préparation/documentation : nécessaire au travail, pas une preuve autonome",False,human_review,relation_graph,relations;states,not_run,not_applicable,,,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,210
S3-007,S3,Carte relationnelle et transitions,Publier les désaccords.,VIRER,,"préparation/documentation : nécessaire au travail, pas une preuve autonome",False,human_review,relation_graph,relations;states,not_run,not_applicable,,,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,211
S3-008,S3,Carte relationnelle et transitions,Tester des relations candidates refusées.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,212
S3-009,S3,Carte relationnelle et transitions,Ajouter des contre-exemples pour chaque type de lien.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,213
S3-010,S3,Carte relationnelle et transitions,Tester la stabilité de la carte lorsque les transitions incertaines sont retirées.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,214
S3-011,S3,Carte relationnelle et transitions,Tester la stabilité sous fusion ou division de transitions.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,215
S3-012,S3,Carte relationnelle et transitions,"Mesurer centralité, modularité, chemins et goulets d’étranglement.",VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,216
S3-013,S3,Carte relationnelle et transitions,Vérifier que les propriétés de graphe ne proviennent pas du choix manuel des nœuds.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,217
S3-014,S3,Carte relationnelle et transitions,Comparer à des graphes nuls conservant le degré.,VIRER,,secondaire/redondant : intégrer comme sous-analyse d’un test fort,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Sortir du noyau probant strict ; conserver seulement en QA/exploratoire si utile.,218
S3-015,S3,Carte relationnelle et transitions,Tester si la carte prédit correctement des relations masquées.,GARDER,P3,valeur prédictive,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Acquérir/relier la donnée admissible : relations ; states.,219
S3-016,S3,Carte relationnelle et transitions,Comparer cette prédiction à des méthodes simples de proximité temporelle.,GARDER,P3,valeur prédictive,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Acquérir/relier la donnée admissible : relations ; states.,220
S3-017,S3,Carte relationnelle et transitions,Comparer à des graph embeddings.,GARDER,P3,mesure/contrôle nécessaire à une preuve forte,False,data_required,relation_graph,relations;states,blocked,undetermined,relations ; states,non_admissible_comme_preuve_empirique,Acquérir/relier la donnée admissible : relations ; states.,221
