id;transition;regime_num;regime_nom;etat_anterieur;etat_posterieur;dimension_n;dimension_G;dimension_I;dimension_E;dimension_Pi;dimension_H;date;date_incertitude;preuves_directes;preuves_indirectes;modeles_concurrents;seuil_ou_plage;vitesse_de_variation;etats_devenus_accessibles;etats_fermes;pertes;mecanismes_de_persistance;contre_exemples;niveau_de_preuve;evaluateurs;source_du_remplissage
TR-014;Manteaux de glace sur les grains;3;Molécules;"TR-008 Étoiles AGB, processus s et poussières ; TR-013 Chimie carbonée simple du milieu interstellaire";Manteaux de glace sur les grains;atomes, ions, molécules, glaces et grains réactifs — cas: Manteaux de glace sur les grains;réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Manteaux de glace sur les grains;réactions gaz-phase/surface, adsorption, désorption et photchimie;"température, densité, UV et rayonnement cosmique — fenêtre: Nuages froids enrichis; récurrence locale";stockage dans liaisons moléculaires, glaces et grains;"héritage/dépendance au chemin depuis: TR-008 Étoiles AGB, processus s et poussières ; TR-013 Chimie carbonée simple du milieu interstellaire";"Nuages froids enrichis; récurrence locale";;;;;;;Chimie de surface et stockage des volatils;;;;;Observé;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm et al. (2002), The Formation of the First Stars I — https://arxiv.org/abs/astro-ph/0102503"
TR-015;Molécules organiques complexes et cages carbonées;3;Molécules;TR-014 Manteaux de glace sur les grains;Molécules organiques complexes et cages carbonées;atomes, ions, molécules, glaces et grains réactifs — cas: Molécules organiques complexes et cages carbonées;réseaux moléculaires et surfaces de grains dans le gaz interstellaire — état postérieur: Molécules organiques complexes et cages carbonées;réactions gaz-phase/surface, adsorption, désorption et photchimie;"température, densité, UV et rayonnement cosmique — fenêtre: Régions enrichies; récurrence astrophysique";stockage dans liaisons moléculaires, glaces et grains;héritage/dépendance au chemin depuis: TR-014 Manteaux de glace sur les grains;"Régions enrichies; récurrence astrophysique";;;;;;;Chimie carbonée étendue;;;;;Observé pour plusieurs espèces;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Bromm et al. (2002), The Formation of the First Stars I — https://arxiv.org/abs/astro-ph/0102503"
TR-016;Condensation de grains présolaires;4;Solides cosmiques;"TR-008 Étoiles AGB, processus s et poussières ; TR-009 Explosions stellaires et enrichissement";Condensation de grains présolaires;minéraux réfractaires, chondres, poussières et galets — cas: Condensation de grains présolaires;grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Condensation de grains présolaires;condensation, fusion, collisions, traînée gazeuse et auto-gravité;"température, pression, turbulence et position dans le disque — fenêtre: Premières générations enrichies; processus continu";textures, minéralogie et chronomètres isotopiques conservés dans les solides;"héritage/dépendance au chemin depuis: TR-008 Étoiles AGB, processus s et poussières ; TR-009 Explosions stellaires et enrichissement";"Premières générations enrichies; processus continu";;;;;;;Phases solides et surfaces réactives;;;;;Observé dans météorites et spectres;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Connelly et al. (2012), Absolute chronology of solids in the solar protoplanetary disk — https://doi.org/10.1126/science.1226919"
TR-017;Formation des CAI;4;Solides cosmiques;TR-016 Condensation de grains présolaires;Formation des CAI;minéraux réfractaires, chondres, poussières et galets — cas: Formation des CAI;grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Formation des CAI;condensation, fusion, collisions, traînée gazeuse et auto-gravité;"température, pression, turbulence et position dans le disque — fenêtre: 4,567 Ga avant aujourd'hui; datations isotopiques";textures, minéralogie et chronomètres isotopiques conservés dans les solides;héritage/dépendance au chemin depuis: TR-016 Condensation de grains présolaires;"4,567 Ga avant aujourd'hui; datations isotopiques";;;;;;;Chronomètre des premiers solides du Système solaire;;;;;"Objet observé; âge inféré";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Connelly et al. (2012), Absolute chronology of solids in the solar protoplanetary disk — https://doi.org/10.1126/science.1226919"
TR-018;Formation des chondres et remaniement thermique des solides réfractaires;4;Solides cosmiques;TR-017 Formation des CAI;Formation des chondres et remaniement thermique des solides réfractaires;minéraux réfractaires, chondres, poussières et galets — cas: Formation des chondres et remaniement thermique des solides réfractaires;grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Formation des chondres et remaniement thermique des solides réfractaires;condensation, fusion, collisions, traînée gazeuse et auto-gravité;température, pression, turbulence et position dans le disque — fenêtre: Premiers millions d'années du Système solaire;textures, minéralogie et chronomètres isotopiques conservés dans les solides;héritage/dépendance au chemin depuis: TR-017 Formation des CAI;Premiers millions d'années du Système solaire;;;;;;;Solides ignés, textures thermiques et héritages remaniés;;;;;"Architecture observée; mécanisme partiellement établi";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Connelly et al. (2012), Absolute chronology of solids in the solar protoplanetary disk — https://doi.org/10.1126/science.1226919"
TR-019;Concentration collective des galets;4;Solides cosmiques;"TR-016 Condensation de grains présolaires ; TR-018 Formation des chondres et remaniement thermique des solides réfractaires";Concentration collective des galets;minéraux réfractaires, chondres, poussières et galets — cas: Concentration collective des galets;grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Concentration collective des galets;condensation, fusion, collisions, traînée gazeuse et auto-gravité;température, pression, turbulence et position dans le disque — fenêtre: Premiers millions d'années des disques;textures, minéralogie et chronomètres isotopiques conservés dans les solides;"héritage/dépendance au chemin depuis: TR-016 Condensation de grains présolaires ; TR-018 Formation des chondres et remaniement thermique des solides réfractaires";Premiers millions d'années des disques;;;;;;;Franchissement du seuil vers les planétésimaux;;;;;"Physiquement plausible; observations compatibles";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Connelly et al. (2012), Absolute chronology of solids in the solar protoplanetary disk — https://doi.org/10.1126/science.1226919"
TR-020;Accrétion d'embryons planétaires;4;Solides cosmiques;TR-019 Concentration collective des galets;Accrétion d'embryons planétaires;minéraux réfractaires, chondres, poussières et galets — cas: Accrétion d'embryons planétaires;grains, agrégats et concentrations du disque protoplanétaire — état postérieur: Accrétion d'embryons planétaires;condensation, fusion, collisions, traînée gazeuse et auto-gravité;température, pression, turbulence et position dans le disque — fenêtre: Quelques à dizaines de Ma dans les disques;textures, minéralogie et chronomètres isotopiques conservés dans les solides;héritage/dépendance au chemin depuis: TR-019 Concentration collective des galets;Quelques à dizaines de Ma dans les disques;;;;;;;Gravité propre et histoire collisionnelle;;;;;Inféré à partir d'archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Connelly et al. (2012), Absolute chronology of solids in the solar protoplanetary disk — https://doi.org/10.1126/science.1226919"
TR-021;Différenciation métal-silicate;5;Architectures planétaires;TR-020 Accrétion d'embryons planétaires;Différenciation métal-silicate;métaux, silicates, volatils et matériaux planétaires — cas: Différenciation métal-silicate;séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Différenciation métal-silicate;partitionnement, convection, cristallisation, dégazage et gravitation;pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Premiers millions à dizaines de Ma des corps;réservoirs géochimiques, couches planétaires et cycles durables;héritage/dépendance au chemin depuis: TR-020 Accrétion d'embryons planétaires;Premiers millions à dizaines de Ma des corps;;;;;;;Noyaux, manteaux et croûtes;;;;;Inféré à partir d'archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Caro et al. (2005), Trace-element fractionation in Hadean mantle — https://doi.org/10.1038/nature03827"
TR-022;Océans magmatiques et cristallisation fractionnée;5;Architectures planétaires;TR-020 Accrétion d'embryons planétaires;Océans magmatiques et cristallisation fractionnée;métaux, silicates, volatils et matériaux planétaires — cas: Océans magmatiques et cristallisation fractionnée;séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Océans magmatiques et cristallisation fractionnée;partitionnement, convection, cristallisation, dégazage et gravitation;pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Jeunesse des planètes différenciées;réservoirs géochimiques, couches planétaires et cycles durables;héritage/dépendance au chemin depuis: TR-020 Accrétion d'embryons planétaires;Jeunesse des planètes différenciées;;;;;;;Réservoirs géochimiques distincts;"Réseaux de réactions propres au liquide silicaté de haute température ; régime globalement fondu.";;;;Inféré à partir d'archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Caro et al. (2005), Trace-element fractionation in Hadean mantle — https://doi.org/10.1038/nature03827"
TR-023;Hydrosphères liquides durables;5;Architectures planétaires;"TR-022 Océans magmatiques et cristallisation fractionnée ; TR-024 Atmosphères secondaires";Hydrosphères liquides durables;métaux, silicates, volatils et matériaux planétaires — cas: Hydrosphères liquides durables;séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Hydrosphères liquides durables;partitionnement, convection, cristallisation, dégazage et gravitation;"pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Terre: possible dès 4,4 Ga; preuves robustes ~3,7 Ga";réservoirs géochimiques, couches planétaires et cycles durables;"héritage/dépendance au chemin depuis: TR-022 Océans magmatiques et cristallisation fractionnée ; TR-024 Atmosphères secondaires";"Terre: possible dès 4,4 Ga; preuves robustes ~3,7 Ga";;;;;;;Transport, dissolution et cycles aqueux;;;;;"Observé aujourd'hui; ancienneté inférée";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Caro et al. (2005), Trace-element fractionation in Hadean mantle — https://doi.org/10.1038/nature03827"
TR-024;Atmosphères secondaires;5;Architectures planétaires;TR-022 Océans magmatiques et cristallisation fractionnée;Atmosphères secondaires;métaux, silicates, volatils et matériaux planétaires — cas: Atmosphères secondaires;séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Atmosphères secondaires;partitionnement, convection, cristallisation, dégazage et gravitation;"pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Après dégazage et apports volatils; durée variable";réservoirs géochimiques, couches planétaires et cycles durables;héritage/dépendance au chemin depuis: TR-022 Océans magmatiques et cristallisation fractionnée;"Après dégazage et apports volatils; durée variable";;;;;;;Climats, photochimies et cycles volatils;;;;;"Observé; histoire inférée";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Caro et al. (2005), Trace-element fractionation in Hadean mantle — https://doi.org/10.1038/nature03827"
TR-025;Recyclage tectonique global;5;Architectures planétaires;"TR-021 Différenciation métal-silicate ; TR-023 Hydrosphères liquides durables";Recyclage tectonique global;métaux, silicates, volatils et matériaux planétaires — cas: Recyclage tectonique global;séparation noyau-manteau-croûte, océans magmatiques et enveloppes fluides — état postérieur: Recyclage tectonique global;partitionnement, convection, cristallisation, dégazage et gravitation;"pression-température, fugacité d'oxygène, impacts et irradiation — fenêtre: Indices de mobilité vers 3,35 Ga; origine débattue";réservoirs géochimiques, couches planétaires et cycles durables;"héritage/dépendance au chemin depuis: TR-021 Différenciation métal-silicate ; TR-023 Hydrosphères liquides durables";"Indices de mobilité vers 3,35 Ga; origine débattue";;;;;;;Couplage durable surface-manteau;;;;;"Inféré; chronologie controversée";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Caro et al. (2005), Trace-element fractionation in Hadean mantle — https://doi.org/10.1038/nature03827"
TR-026;Altération aqueuse et argiles;6;Diversification minérale;TR-023 Hydrosphères liquides durables;Altération aqueuse et argiles;minéraux primaires/secondaires, fluides et constituants biologiques — cas: Altération aqueuse et argiles;réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Altération aqueuse et argiles;précipitation, dissolution, redox, métamorphisme et biominéralisation;pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Dès que l'eau interagit durablement avec les roches;stabilité cristalline et archives minéralogiques/géochimiques;héritage/dépendance au chemin depuis: TR-023 Hydrosphères liquides durables;Dès que l'eau interagit durablement avec les roches;;;;;;;Surfaces ioniques, adsorption et catalyse;;;;;"Observé; ancienneté inférée";;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Hazen et al. (2008), Mineral evolution — https://doi.org/10.2138/am.2008.2955"
TR-027;Précipitation chimique à grande échelle;6;Diversification minérale;TR-023 Hydrosphères liquides durables;Précipitation chimique à grande échelle;minéraux primaires/secondaires, fluides et constituants biologiques — cas: Précipitation chimique à grande échelle;réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Précipitation chimique à grande échelle;précipitation, dissolution, redox, métamorphisme et biominéralisation;"pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Océans et atmosphères planétaires; processus récurrent";stabilité cristalline et archives minéralogiques/géochimiques;héritage/dépendance au chemin depuis: TR-023 Hydrosphères liquides durables;"Océans et atmosphères planétaires; processus récurrent";;;;;;;Carbonates, évaporites, oxydes et BIF;;;;;Inféré à partir d'archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Hazen et al. (2008), Mineral evolution — https://doi.org/10.2138/am.2008.2955"
TR-028;Phases de haute pression et de choc;6;Diversification minérale;TR-021 Différenciation métal-silicate;Phases de haute pression et de choc;minéraux primaires/secondaires, fluides et constituants biologiques — cas: Phases de haute pression et de choc;réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Phases de haute pression et de choc;précipitation, dissolution, redox, métamorphisme et biominéralisation;"pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Impacts, enfouissement et subduction; récurrent";stabilité cristalline et archives minéralogiques/géochimiques;héritage/dépendance au chemin depuis: TR-021 Différenciation métal-silicate;"Impacts, enfouissement et subduction; récurrent";;;;;;;Nouveaux réseaux cristallins;;;;;Observé naturellement et expérimentalement;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Hazen et al. (2008), Mineral evolution — https://doi.org/10.2138/am.2008.2955"
TR-029;Oxygénation durable de la surface;6;Diversification minérale;TR-038 Photosynthèse oxygénique;Oxygénation durable de la surface;minéraux primaires/secondaires, fluides et constituants biologiques — cas: Oxygénation durable de la surface;réseaux cristallins, assemblages minéraux et interfaces fluide-roche — état postérieur: Oxygénation durable de la surface;précipitation, dissolution, redox, métamorphisme et biominéralisation;"pression-température, eau, pH, potentiel redox et activité biologique — fenêtre: Terre: ~2,5 à 2,3 Ga; archives redox";stabilité cristalline et archives minéralogiques/géochimiques;héritage/dépendance au chemin depuis: TR-038 Photosynthèse oxygénique;"Terre: ~2,5 à 2,3 Ga; archives redox";;;;;;;Domaines minéralogiques oxydés;"Habitats de surface strictement anaérobies ; voies de synthèse organique abiotique en atmosphère réductrice.";;;;Inféré à partir de plusieurs archives;;"carte_relationnelle/data ; état antérieur dérivé des liens entrants non rétroactifs ; codage qualitatif ORI-C d'après Hazen et al. (2008), Mineral evolution — https://doi.org/10.2138/am.2008.2955"
