id;branche;parents_materiels;conditions_permissives;produit;inventaire_accessible;epoque;milieu;mecanisme;mecanisme_categorie;conditions_necessaires;transformations_intermediaires;proprietes_nouvelles;possibilites_ouvertes;possibilites_fermees;voies_concurrentes;preuve_experimentale;preuve_observationnelle;degre_de_certitude;transition_suivante;preuve_du_mecanisme;preuve_en_milieu_naturel;preuve_de_la_transition_historique;certitude_du_role_causal;statut_evaluation_certitudes
GA-011;1 matière;fer | nickel | cobalt | neutrons;flux neutronique rapide;actinides;uranium et thorium dispersés dans le milieu interstellaire;dès les premières générations;"éjecta de fusions d'étoiles à neutrons ; sites explosifs riches en neutrons";captures neutroniques rapides devant la décroissance bêta;capture_neutronique;"densité neutronique > 10²⁰ cm⁻³ ; noyaux graines";chemin hors stabilité puis décroissance;radionucléides de longue période;chauffage radiogénique de longue durée des corps planétaires;aucune;voie s, incapable de produire les actinides;faisceaux radioactifs;kilonova AT2017gfo associée à GW170817;établi;GA-013;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-012;1 matière;magnésium | protons;évolution des étoiles massives;aluminium 26;²⁶Al éjecté puis incorporable au nuage et au disque protosolaires;évolution et fin de vie des étoiles massives;cœurs, coquilles et éjecta stellaires massifs;capture protonique ²⁵Mg(p,γ)²⁶Al et nucléosynthèse hydrostatique ou explosive du carbone et du néon;fusion_nucleaire;"températures de combustion stellaire ; magnésium 25 et protons disponibles";production, transport interne, éjection par vents ou explosion, injection dans le milieu présolaire;radionucléide de courte période servant de source thermique et de chronomètre;chauffage très précoce, métamorphisme et différenciation des planétésimaux;après plusieurs demi-vies, la source thermique initiale devient indisponible;⁶⁰Fe et autres radionucléides, contribution secondaire selon le contexte;sections efficaces et produits de réaction mesurés en physique nucléaire;"émission gamma galactique du ²⁶Al ; excès de ²⁶Mg dans les solides primitifs";établi;GA-013;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-013;1 matière;oxygène | néon | magnésium | silicium | carbone 12;aucune;grains réfractaires;surfaces solides : premier support de réaction hétérogène;perte de masse stellaire;"enveloppes d'AGB ; éjecta";nucléation puis croissance sous le point de rosée;condensation_thermique;"T ≈ 1 000–1 800 K ; rapport C/O";silicates si C/O < 1, carbures sinon;surface solide, lieu de réaction inexistant en gaz;"chimie de surface ; adsorption ; catalyse";aucune;destruction par chocs, qui recycle;"condensation en four ; grains présolaires";bandes silicatées à 9,7 et 18 µm;établi;GA-014;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-014;1 matière;grains réfractaires | atomes neutres;aucune;dihydrogène de surface;H2 abondant en phase dense;milieu interstellaire évolué;nuages moléculaires;recombinaison de deux H adsorbés, le grain évacuant l'énergie;chimie_de_surface;T de grain 10–20 K;diffusion Langmuir-Hinshelwood;taux supérieur de plusieurs ordres à la voie H⁻;"nuages denses ; formation stellaire efficace";aucune;voie H⁻, désormais négligeable;surfaces sous ultravide;H₂ des nuages sombres;établi;GA-015;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-015;1 matière;grains réfractaires | atomes neutres | dihydrogène de surface;aucune;manteaux de glace;volatils concentrés en phase solide, hors du réseau gazeux;cœurs préstellaires;nuages denses, T < 20 K;accrétion puis hydrogénations successives;hydrogenation;"n > 10⁴ cm⁻³ ; extinction protectrice";CO + 4H → CH₃OH;réservoir concentré de volatils;"chimie organique ; livraison de volatils";les espèces gelées sortent du réseau gazeux;désorption thermique et photodésorption;glaces analogues;"bandes à 3,0, 4,27 et 4,67 µm ; JWST";établi;GA-016;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-016;1 matière;manteaux de glace;flux ultraviolet;molécules organiques complexes;organiques complexes portés par les glaces, transportables;cœurs chauds;glaces irradiées puis réchauffées;photolyse en radicaux, piégés puis recombinés;photolyse;"dose ultraviolette ; réchauffement 30–100 K";radicaux HCO, CH₃O, CH₂OH;liaisons C-C, C-N, C-O;"acides aminés ; sucres ; bases azotées";aucune;chimie en phase gazeuse des cœurs chauds;glycine et sucres en glaces analogues;"molécules complexes en millimétrique ; acides aminés de Murchison";établi;GA-017;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-017;1 matière;grains réfractaires | oxygène | magnésium | silicium;aucune;condensats réfractaires;"réfractaires condensés ; volatils restés en phase gazeuse";disque précoce, t = 0;disque interne chaud;condensation d'équilibre selon la séquence de volatilité;condensation_thermique;"T de 1 800 à 1 400 K ; P ≈ 10⁻⁴ bar";corindon, hibonite, mélilite, spinelle;premiers solides datables du Système solaire;"ancrage chronologique ; horloge Al-Mg";aucune;condensation cinétique hors équilibre;séquences de condensation calculées et vérifiées;inclusions réfractaires calco-alumineuses, 4 567,3 Ma;établi;GA-018;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-018;1 matière;condensats réfractaires | grains réfractaires;chocs;chondres;silicates cristallisés, texture figée;0 à 3 Ma après les condensats;disque, événements de chauffage éclair;fusion flash puis refroidissement rapide;cristallisation;"pic à 1 700–2 100 K ; refroidissement 10–1 000 K/h";nucléation d'olivine et de pyroxène;sphérules cristallisées, textures figées;agrégation en corps chondritiques;la texture de condensation initiale est effacée;chocs, éclairs, courants électriques : mécanisme déclencheur non tranché;reproduction texturale en four à trempe;chondres des chondrites ordinaires et carbonées;fortement inféré;GA-019;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-019;1 matière;chondres | condensats réfractaires | manteaux de glace;turbulence du disque;agrégats poreux;solides agrégés, encore couplés au gaz;disque;régions denses et froides;collisions lentes, adhésion de van der Waals;collision_adhesion;vitesses relatives < 1 m/s;dimension fractale 1,8 à 2,5;"porosité élevée ; découplage progressif du gaz";croissance vers le millimètre;aucune;fragmentation au-dessus du seuil;collisions en microgravité;opacité et polarisation des disques;établi;GA-020;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-020;2 planétaire;agrégats poreux;turbulence du disque;galets;solides découplés, sujets à la dérive;disque;plan médian;"compaction par collisions répétées ; sédimentation";compaction;"taux de collision élevé ; turbulence modérée";"perte de porosité ; Stokes croissant";couplage aérodynamique partiel : dérive radiale;concentration locale;croissance par adhésion au-delà du centimètre : barrière de rebond;dérive vers l'étoile, qui vide le disque;seuils de rebond et de fragmentation;indices spectraux millimétriques;établi;GA-021;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-021;2 planétaire;galets;piège à pression | turbulence du disque;concentrations de galets;solides concentrés localement, au-dessus du seuil d'auto-gravité;disque;pièges à pression, anneaux, tourbillons;instabilité de dérive et rétroaction du gaz;concentration_hydrodynamique;"poussière/gaz local ≳ 1 ; Stokes 0,01 à 1";filaments et amas denses;densité suffisante pour l'auto-gravité;effondrement direct;aucune;croissance collisionnelle lente;"lits de particules ; simulations";anneaux et cavités résolus par ALMA;fortement inféré;GA-022;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-022;2 planétaire;concentrations de galets;gravité | seuil de Roche;planétésimaux;matière liée, soustraite à la dérive radiale;disque;plan médian;effondrement d'un amas dense, court-circuitant le rebond;effondrement_gravitationnel;masse au-dessus du seuil de Roche local;"tailles préférentielles ≈ 100 km ; binaires";"corps liés par la gravité ; découplage du gaz";"accrétion de galets ; chauffage interne";dérive radiale, sans objet;croissance hiérarchique, plus lente;sans objet;"distribution de tailles de Kuiper ; binaires";fortement inféré;GA-023;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-023;2 planétaire;planétésimaux | aluminium 26;aucune;planétésimaux chauffés;intérieur porté au-dessus du solidus;< 3 Ma;intérieur de planétésimal;chauffage par ²⁶Al, demi-vie 0,72 Ma;chauffage_radiogenique;"accrétion précoce ; rayon > ~20 km";métamorphisme puis fusion partielle;la date d'accrétion devient un destin thermique : deux corps identiques divergent selon leur date;"différenciation ; volcanisme";la texture primitive, irrécupérable après fusion;accrétion tardive, corps non différencié;modèles thermiques calibrés;"excès de ²⁶Mg ; Hf-W ; achondrites précoces";établi;GA-024;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-024;2 planétaire;planétésimaux chauffés;gravité | fugacité d'oxygène;noyau métallique | manteau silicaté;"manteau appauvri en sidérophiles ; noyau inaccessible";premiers millions d'années;intérieur en fusion;ségrégation gravitationnelle du métal à travers le silicate;segregation_densite;"fusion suffisante ; contraste de densité";partage des sidérophiles selon P, T, fO₂;réservoirs chimiquement isolés;"dynamo ; volcanisme ; dégazage";fer, nickel et sidérophiles séquestrés hors du domaine chimique de surface;différenciation incomplète;partage à haute pression;"météorites de fer ; déficit du manteau terrestre";établi;GA-025;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-025;2 planétaire;planétésimaux | planétésimaux chauffés;gravité | dissipation du disque;embryons planétaires;masse suffisante pour retenir une enveloppe;0,1 à 10 Ma;disque en dissipation;accrétion de galets et collisions entre planétésimaux;collision_adhesion;"densité surfacique ; temps avant dissipation";croissance oligarchique;gravité de surface retenant une atmosphère;"impacts géants ; capture de gaz";aucune;"éjection ; migration vers l'étoile";sans objet;"démographie exoplanétaire ; 6 333 planètes du catalogue NASA";fortement inféré;GA-026;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-026;2 planétaire;embryons planétaires | noyau métallique | manteau silicaté;gravité;corps différenciés | océan magmatique;"réservoirs stratifiés ; horloges réinitialisées";10 à 100 Ma;protoplanète;"impacts géants ; refonte globale";impact;énergie d'impact au-dessus du seuil de fusion;équilibrage métal-silicate en base d'océan magmatique;"stratification ; réinitialisation des horloges isotopiques";"lune par disque d'impact ; croûte primaire";mémoire des accrétions antérieures, effacée;accrétion douce sans impact géant;expériences d'équilibrage à haute pression;"système Terre-Lune ; chronologie Hf-W";établi;GA-027;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-027;2 planétaire;océan magmatique | manteaux de glace;gravité;atmosphère secondaire | hydrosphère;volatils en surface : eau liquide et gaz mobilisables;< 100 Ma;surface planétaire;"dégazage du manteau ; apport de volatils par corps externes";degazage;"teneur en volatils ; gravité suffisante";condensation de l'eau au refroidissement;"solvant liquide stable ; interface fluide-solide";"altération aqueuse ; chimie en solution";aucune;échappement hydrodynamique, qui peut tout retirer;solubilité des volatils dans les silicates;D/H des océans comparé aux chondrites carbonées;établi;GA-028;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-028;2 planétaire;atmosphère secondaire;flux XUV stellaire;atmosphère filtrée;inventaire de surface appauvri en hydrogène, oxydé;100 Ma à 1 Ga;haute atmosphère;photodissociation puis échappement de l'hydrogène;echappement_atmospherique;"flux XUV stellaire ; masse planétaire";fractionnement isotopique D/H, ³⁶Ar/³⁸Ar;composition atmosphérique irréversiblement biaisée;oxydation progressive de la surface;l'inventaire d'hydrogène perdu ne revient pas;"érosion par impacts ; arrachement par le vent stellaire";modèles d'échappement calibrés;D/H de Vénus, enrichi d'un facteur 100;établi;GA-029;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-029;2 planétaire;hydrosphère | manteau silicaté | condensats réfractaires;circulation hydrothermale | énergie hydrothermale;minéraux secondaires | gradients redox;H2, gradients redox et surfaces catalytiques accessibles;dès l'hydrosphère stable;croûte et fonds hydrothermaux;hydrolyse, carbonatation, serpentinisation;alteration_aqueuse;"eau liquide ; circulation ; roche ultrabasique";olivine + H₂O → serpentine + magnétite + H₂;"production d'hydrogène ; gradients de pH et redox ; surfaces catalytiques neuves";"chimie organique de surface minérale ; énergie chimique exploitable";aucune;altération à sec, bien moins productive;serpentinisation reproduite en autoclave;"champs hydrothermaux type Lost City ; minéraux d'altération des chondrites";établi;GA-030;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-030;3 vivant;molécules organiques complexes | minéraux secondaires | gradients redox;énergie hydrothermale;monomères biologiques;monomères biologiques en solution;Hadéen à Archéen;"surfaces minérales ; bassins ; systèmes hydrothermaux";synthèses de type Strecker, formose, Fischer-Tropsch;catalyse;"précurseurs ; catalyseur minéral ; énergie";HCN et formaldéhyde comme intermédiaires;acides aminés, sucres, bases : briques à fonction;polymérisation;aucune;apport exogène par météorites et poussières;"Miller-Urey ; Strecker ; formose";acides aminés et sucres de Murchison et Ryugu;établi;GA-031;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-031;3 vivant;monomères biologiques;cycles humide-sec;polymères;polymères porteurs de séquence;Hadéen à Archéen;"bords de bassins ; surfaces d'argile";condensation par déshydratation lors des phases sèches;polymerisation;"alternance humide-sec ; concentration ; activation chimique";oligomères de longueur croissante;séquence : un ordre interne devient porteur d'information;"repliement ; catalyse ; appariement";aucune;hydrolyse, qui dépolymérise en permanence;"polymérisation en cycles humide-sec ; montmorillonite";aucune trace directe conservée;fortement inféré;GA-032;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GA-032;3 vivant;polymères;aucune;réseaux réactionnels autocatalytiques;réseaux persistants malgré le renouvellement des membres;Archéen;milieux confinés;catalyse croisée entre espèces d'un même réseau;catalyse;"diversité chimique ; flux de matière et d'énergie";boucles de rétroaction positive;maintien collectif : le réseau persiste alors que ses membres se renouvellent;sélection entre réseaux;aucune;réseaux non autocatalytiques, dilués;réseaux peptidiques autocatalytiques en laboratoire;aucune;plausible;GA-033;plausible;non documenté;plausible;plausible;préliminaire - revue bibliographique indépendante requise
GA-033;3 vivant;molécules organiques complexes | monomères biologiques;aucune;vésicules lipidiques;intérieur distinct : concentration locale possible;Archéen;eau douce ou saumâtre;auto-assemblage d'amphiphiles au-dessus de la concentration micellaire critique;auto_assemblage;"amphiphiles à chaîne suffisante ; force ionique modérée";micelles puis bicouches puis vésicules;intérieur distinct de l'extérieur : une frontière sélective apparaît;"concentration locale ; gradients ; encapsulation";dilution illimitée, désormais empêchée;"agrégats minéraux ; coacervats";vésicules d'acides gras, croissance et division;acides gras dans les chondrites carbonées;établi;GA-034;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-034;3 vivant;vésicules lipidiques | polymères | réseaux réactionnels autocatalytiques;cycles humide-sec;protocellules;contenu confiné, transmis à la division;Archéen;milieux cycliques;encapsulation d'un réseau réactionnel dans un compartiment;encapsulation;"perméabilité sélective ; apport de précurseurs ; croissance et division du compartiment";couplage entre croissance de membrane et chimie interne;l'unité de sélection cesse d'être la molécule et devient le compartiment;"hérédité de composition ; lignées";aucune;réseaux libres, sans compartiment;"protocellules à croissance et division ; copie non enzymatique en vésicule";aucune;plausible;GA-035;plausible;non documenté;plausible;plausible;préliminaire - revue bibliographique indépendante requise
GA-035;3 vivant;protocellules | polymères;aucune;hérédité moléculaire;information de séquence transmissible;Archéen;protocellules en cycles;copie par appariement de bases sur un brin matrice;copie_par_matrice;"monomères activés ; fidélité au-dessus du seuil d'erreur ; cycles de séparation des brins";"copies partielles ; blocages de séquence";transmission d'une différence à la descendance;évolution par variation et sélection;au-delà du seuil d'erreur, l'information se perd : catastrophe d'erreur;hérédité de composition, sans séquence;"copie non enzymatique d'ARN ; ribozymes polymérases partiels";"aucune ; ARN ancestral non conservé";plausible;GA-036;plausible;plausible;plausible;plausible;préliminaire - revue bibliographique indépendante requise
GA-036;3 vivant;hérédité moléculaire;aucune;lignées sélectionnées;variantes fixées dans une population;Archéen;populations de protocellules;croissance différentielle selon la variante portée;selection_differentielle;"variation héritable ; ressource limitante ; plusieurs cycles sans réinitialisation";dérive et fixation;adaptation cumulative;"métabolisme codé ; traduction";aucune;dérive neutre;"évolution expérimentale de ribozymes ; évolution bactérienne sous antibiotiques, 942 cycles réels";"arbre du vivant ; horloges moléculaires";établi;GA-037;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-037;3 vivant;lignées sélectionnées | gradients redox;aucune;cellules à métabolisme codé;énergie conservée sous forme de gradient ionique;Archéen;environnements chimiquement actifs;couplage entre gradient ionique, catalyse enzymatique et information de séquence;catalyse;"membrane imperméable aux ions ; code de traduction ; conservation d'énergie";"chimiosmose ; appareil de traduction";l'organisation entretient activement ses propres conditions de persistance;"diversification métabolique ; colonisation";retour à une chimie non codée, exclu par la dépendance mutuelle des composants;aucune connue;"chimiosmose démontrée ; traduction reconstituée in vitro";"universalité du code génétique ; LUCA";établi;GA-038;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-038;3 vivant;cellules à métabolisme codé;aucune;cellules à endosymbiote;rendement énergétique par gène fortement accru;~1,8 à 2,0 Ga;cellules hôtes anaérobies;internalisation durable d'une cellule par une autre;endosymbiose;"complémentarité métabolique ; contrôle de la division de l'hôte";réduction génomique de l'endosymbiote;rendement énergétique par gène nettement accru;taille cellulaire et complexité génomique;autonomie de l'endosymbiote, irrécupérable;symbioses non obligatoires, réversibles;endosymbioses expérimentales chez les amibes;phylogénie mitochondriale au sein des alphaprotéobactéries;établi;GA-039;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GA-039;3 vivant;cellules à endosymbiote;aucune;eucaryotes;"génome unifié ; deux lignées devenues une unité";~1,6 Ga et après;milieux oxygénés;transfert de gènes de l'endosymbiote vers le noyau et import protéique en retour;transfert_de_genes;"machinerie d'import ; ciblage des protéines";perte de la majorité du génome endosymbiotique;intégration architecturale : deux lignées deviennent une seule unité de reproduction;"multicellularité ; différenciation";séparation des deux lignées, définitivement close;aucune : la dépendance est mutuelle et totale;import protéique reconstitué;"gènes d'origine mitochondriale dans le noyau ; fossiles eucaryotes";établi;fin de branche 3;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
