id;parents_materiels;produit;epoque;milieu;mecanisme;conditions_necessaires;transformations_intermediaires;proprietes_nouvelles;possibilites_ouvertes;possibilites_fermees;voies_concurrentes;preuve_experimentale;preuve_observationnelle;degre_de_certitude;transition_suivante;preuve_du_mecanisme;preuve_en_milieu_naturel;preuve_de_la_transition_historique;certitude_du_role_causal;statut_evaluation_certitudes
GM-011;pic du fer : Fe, Ni, Co | neutrons;éléments lourds, voie r;dès les premières générations;"éjecta de fusions d'étoiles à neutrons ; supernovæ rares";captures neutroniques rapides devant la décroissance bêta;"flux neutronique rapide ; densité neutronique > 10²⁰ cm⁻³ ; milieu riche en neutrons";chemin loin de la stabilité, puis décroissance vers la vallée;"actinides ; uranium et thorium";**chauffage radiogénique de longue durée des corps planétaires**;aucune;voie s, incapable de produire les actinides;mesures sur noyaux exotiques, installations à faisceaux radioactifs;kilonova AT2017gfo associée à GW170817;établi;GM-013;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-012;magnésium | protons;aluminium 26;évolution et fin de vie des étoiles massives;cœurs, coquilles et éjecta stellaires massifs;capture protonique ²⁵Mg(p,γ)²⁶Al et production hydrostatique ou explosive pendant les combustions du carbone et du néon;"températures stellaires élevées ; magnésium 25 et protons disponibles";transport et éjection, injection dans le nuage ou le disque protosolaire, incorporation aux solides;radionucléide de courte période, source de chauffage précoce et chronomètre isotopique;chauffage, métamorphisme et différenciation précoce des planétésimaux;décroissance rapide limitant la fenêtre de chauffage aux premiers millions d’années;⁶⁰Fe et radionucléides de longue période, contributions distinctes;sections efficaces et produits de réaction mesurés;"émission gamma du ²⁶Al ; excès de ²⁶Mg dans les inclusions primitives";établi;GM-013;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-013;oxygène | néon | magnésium | silicium | soufre | carbone 12;grains réfractaires;perte de masse stellaire;"enveloppes froides d'AGB ; éjecta de supernovæ";condensation depuis la phase gazeuse sous le point de rosée, nucléation puis croissance;"T ≈ 1 000–1 800 K selon l'espèce ; densité suffisante ; rapport C/O fixant la minéralogie";silicates si C/O < 1, carbures si C/O > 1;**surface solide** : un lieu de réaction qui n'existait pas en phase gazeuse;"chimie de surface ; adsorption ; catalyse";aucune;destruction par chocs de supernovæ, qui recycle une part des grains;"expériences de condensation en four ; analyse de grains présolaires en météorites";bandes silicatées à 9,7 et 18 µm;établi;GM-014;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-014;grains réfractaires | atomes neutres;dihydrogène de surface;milieu interstellaire évolué;nuages moléculaires;recombinaison de deux hydrogènes adsorbés sur un grain, le grain évacuant l'énergie de liaison;"T de grain 10–20 K ; densité de sites d'adsorption";diffusion de surface Langmuir-Hinshelwood;taux de formation supérieur de plusieurs ordres à la voie H⁻ en phase gazeuse;"nuages moléculaires denses ; formation stellaire efficace";aucune;voie H⁻ de GM-005, désormais négligeable;expériences de surface sous ultravide, analogues de glaces;abondance de H₂ dans les nuages sombres;établi;GM-015;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-015;grains réfractaires | atomes neutres;manteaux de glace : H₂O, CO, CO₂, NH₃, CH₃OH;nuages denses;cœurs préstellaires, T < 20 K;accrétion des espèces gazeuses sur les grains, puis hydrogénation successive;"densité > 10⁴ cm⁻³ ; extinction visuelle protégeant du rayonnement ultraviolet";CO + 4H → CH₃OH par additions successives;**réservoir concentré de volatils** et matrice solide où les réactifs se rencontrent;"chimie organique complexe ; livraison de volatils aux planètes";équilibre avec la phase gazeuse : les espèces gelées sortent du réseau gazeux;désorption thermique et photodésorption;irradiation de glaces analogues en laboratoire;"bandes de glace à 3,0, 4,27 et 4,67 µm ; spectres JWST des cœurs denses";établi;GM-016;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-016;manteaux de glace : H₂O, CO, CO₂, NH₃, CH₃OH | flux ultraviolet;molécules organiques complexes;cœurs chauds et protoétoiles;glaces irradiées puis réchauffées;photolyse produisant des radicaux, piégés puis recombinés lors du réchauffement;"dose ultraviolette ; réchauffement à 30–100 K mobilisant les radicaux";radicaux HCO, CH₃O, CH₂OH;"liaisons C-C, C-N, C-O ; premiers squelettes carbonés";"acides aminés ; sucres ; bases azotées";aucune;chimie en phase gazeuse dans les cœurs chauds;glycine et sucres obtenus par irradiation de glaces analogues;"détection de molécules organiques complexes en millimétrique ; acides aminés dans Murchison";établi;GM-017;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-017;grains réfractaires | manteaux de glace : H₂O, CO, CO₂, NH₃, CH₃OH;agrégats poreux;disque protoplanétaire précoce;disque, régions denses et froides;"collisions à faible vitesse, adhésion par forces de van der Waals ; croissance fractale";"vitesses relatives < 1 m/s ; densité de grains suffisante";agrégats de dimension fractale ≈ 1,8 à 2,5;"porosité élevée ; découplage progressif du gaz";croissance vers le millimètre;aucune;fragmentation dès que la vitesse dépasse le seuil d'adhésion;expériences de collision de grains en microgravité;opacité et polarisation des disques;établi;GM-018;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-018;agrégats poreux;galets millimétriques à centimétriques;disque protoplanétaire;plan médian du disque;"compaction par collisions répétées ; sédimentation vers le plan médian";"taux de collision élevé ; turbulence modérée";"perte de porosité ; augmentation du nombre de Stokes";couplage aérodynamique partiel : dérive radiale;concentration locale par instabilités;croissance par simple adhésion au-delà du centimètre — **barrière de rebond**;dérive vers l'étoile, qui vide le disque en ~10⁵ ans;seuils de rebond et de fragmentation mesurés;indices spectraux millimétriques des disques;établi;GM-019;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-019;galets millimétriques à centimétriques;concentrations locales de galets;disque protoplanétaire;pièges à pression, anneaux, tourbillons;"instabilité de dérive et rétroaction du gaz ; piégeage aux maxima de pression";"rapport poussière/gaz local ≳ 1 ; nombre de Stokes ≈ 0,01 à 1";filaments et amas denses;densité locale suffisante pour l'auto-gravité;effondrement gravitationnel direct;aucune;croissance collisionnelle lente, freinée par la barrière de rebond;simulations et expériences de lit de particules;anneaux et cavités résolus par ALMA;fortement inféré;GM-020;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GM-020;concentrations locales de galets | gravité;planétésimaux;disque protoplanétaire;plan médian;effondrement gravitationnel d'un amas dense, court-circuitant la barrière de rebond;masse d'amas au-dessus du seuil de Roche local;formation préférentielle autour de 100 km, avec des binaires;"corps liés par la gravité ; découplage complet du gaz";"accrétion de galets ; chauffage interne ; différenciation";dérive radiale, qui ne s'applique plus;croissance hiérarchique par collisions, plus lente;sans objet;"distribution de tailles de la ceinture de Kuiper ; forte proportion de binaires";fortement inféré;GM-021;fortement inféré;fortement inféré;fortement inféré;fortement inféré;préliminaire - revue bibliographique indépendante requise
GM-021;planétésimaux | aluminium 26;planétésimaux chauffés;< 3 Ma après les premiers condensats;intérieur de planétésimal;"chauffage radiogénique par ²⁶Al, demi-vie 0,72 Ma ; ⁶⁰Fe secondaire";"accrétion précoce, avant la décroissance de l'aluminium 26 ; rayon > ~20 km limitant les pertes";métamorphisme puis fusion partielle;**la date d'accrétion devient un paramètre de destin thermique** : deux corps de composition identique divergent selon leur date;"différenciation métal-silicate ; volcanisme";conservation de la texture primitive : un corps fondu ne redevient pas chondritique;accrétion tardive, qui laisse un corps non différencié;modèles thermiques calibrés sur les achondrites;"excès de ²⁶Mg ; chronologie Hf-W ; achondrites plus anciennes que certaines chondrites";établi;GM-022;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
GM-022;planétésimaux chauffés;corps différenciés : noyau, manteau, croûte;premiers millions d'années;intérieur en fusion partielle;ségrégation gravitationnelle du métal liquide à travers le silicate;"fusion suffisante pour la percolation ou pour un océan magmatique ; contraste de densité";partage des éléments sidérophiles selon pression, température et fugacité d'oxygène;"réservoirs chimiquement isolés ; **une partie de l'inventaire devient inaccessible à la surface**";"dynamo ; volcanisme ; dégazage ; atmosphère secondaire";**le fer, le nickel et les sidérophiles séquestrés dans le noyau sortent du domaine chimique de surface**;"différenciation incomplète ; corps partiellement différenciés";expériences de partage à haute pression;"météorites de fer ; déficit en sidérophiles du manteau terrestre";établi;relais vers la branche 2;établi;établi;établi;établi;préliminaire - revue bibliographique indépendante requise
