Échelle;Réservoir;Composition dominante;Conditions;Localisation;Statut;Note;Source URL
Système planétaire;Disque protoplanétaire;Gaz, poussières, glaces, molécules;Gradient radial de température;Autour de jeunes étoiles;Confirmé;Formation de planètes;https://science.nasa.gov/universe/overview/building-blocks/
Système planétaire;Planétésimaux;Roches, métaux, glaces, organiques;Solides agrégés;Disques jeunes;Inféré et observé indirectement;Briques de formation planétaire;https://science.nasa.gov/universe/overview/building-blocks/
Petit corps;Astéroïde rocheux;Silicates, métaux, sulfures;Solide poreux ou compact;Systèmes planétaires;Confirmé;Archives de formation;https://science.nasa.gov/universe/overview/building-blocks/
Petit corps;Astéroïde métallique;Fer-nickel, sulfures;Solide métallique;Systèmes planétaires;Confirmé;Fragments de noyaux différenciés possibles;https://science.nasa.gov/universe/overview/building-blocks/
Petit corps;Comète;Glaces, poussières, organiques, sels;Noyau poreux;Systèmes planétaires;Confirmé;Réservoir volatil;https://science.nasa.gov/universe/overview/building-blocks/
Petit corps;Objet transneptunien;Glaces de N2, CH4, H2O, roches, organiques;Solides froids;Régions externes des systèmes;Confirmé;Réservoir primordial;https://science.nasa.gov/universe/overview/building-blocks/
Planète;Atmosphère tellurique;Gaz, aérosols, nuages;Enveloppe fluide;Planètes rocheuses;Confirmé;Composition très variable;https://science.nasa.gov/universe/overview/building-blocks/
Planète;Hydrosphère;Eau liquide et solutés;Océans, lacs, nappes;Planètes ou lunes;Confirmé sur Terre, recherché ailleurs;Réservoir mobile;https://science.nasa.gov/universe/overview/building-blocks/
Planète;Cryosphère;Glaces d'eau et autres volatils;Calottes, glaciers, sous-sols;Planètes et lunes;Confirmé;Mémoire climatique;https://science.nasa.gov/universe/overview/building-blocks/
Planète;Croûte silicatée;Silicates, oxydes, métaux, fluides;Solide fracturé;Planètes rocheuses;Confirmé sur Terre et inféré ailleurs;Interface réactive;https://science.nasa.gov/universe/overview/building-blocks/
Planète;Manteau silicaté;Olivines, pyroxènes, phases haute pression;Solide convectif;Planètes rocheuses;Confirmé indirectement;Réservoir majeur de masse;https://science.nasa.gov/universe/overview/building-blocks/
Planète;Noyau métallique;Fer, nickel, éléments légers;Liquide et solide selon profondeur;Planètes différenciées;Inféré et contraint;Source possible de champ magnétique;https://science.nasa.gov/universe/overview/building-blocks/
Planète géante;Enveloppe hydrogène-hélium;H2, He, hydrogène métallique en profondeur;Fluide comprimé;Géantes gazeuses;Inféré et modélisé;Masse dominante;https://science.nasa.gov/universe/overview/building-blocks/
Planète géante;Manteau riche en glaces;H2O, NH3, CH4 sous formes ioniques ou superioniques;Fluide dense;Géantes glacées;Inféré;Composition et stratification ouvertes;https://science.nasa.gov/universe/overview/building-blocks/
Lune glacée;Coque de glace;Glace H2O, sels, clathrates;Solide stratifié;Europe, Ganymède, Encelade et autres;Confirmé ou inféré;Barrière et réservoir;https://science.nasa.gov/universe/overview/building-blocks/
Lune glacée;Océan sous-glaciaire;Eau, sels, gaz dissous, organiques possibles;Liquide sous pression;Lunes glacées;Fortement inféré pour plusieurs objets;Réservoir potentiellement habitable;https://science.nasa.gov/universe/overview/building-blocks/
Terre;Sol;Minéraux, matière organique, eau, air, organismes;Milieu poreux organisé;Continents;Confirmé;Interface biogéochimique;https://science.nasa.gov/universe/overview/building-blocks/
Terre;Sédiments;Particules minérales, organiques, fluides;Couches déposées;Fonds marins, bassins;Confirmé;Archive historique;https://science.nasa.gov/universe/overview/building-blocks/
Terre;Biosphère;Organismes, biomasse, eau, minéraux biologiques;Organisation vivante;Surface et sous-sol;Confirmé;Matière opératrice de sa continuité;https://science.nasa.gov/universe/overview/building-blocks/
Terre;Nécromasse et détritus;Matière organique morte, minéraux;Agrégats en décomposition;Sols, océans, sédiments;Confirmé;Réservoir et flux nutritif;https://science.nasa.gov/universe/overview/building-blocks/
Technosphère;Bâtiments et infrastructures;Béton, acier, verre, polymères, composites;Architectures artificielles;Zones humaines;Confirmé;Stock de matière transformée;https://science.nasa.gov/universe/overview/building-blocks/
Technosphère;Machines et électronique;Métaux, semi-conducteurs, céramiques, polymères;Assemblages fonctionnels;Zones humaines et satellites;Confirmé;Matière fortement organisée;https://science.nasa.gov/universe/overview/building-blocks/
Technosphère;Déchets et stocks dispersés;Métaux, plastiques, organiques, radionucléides;Mélanges variables;Décharges, océans, sols, orbites;Confirmé;Accessibilité et mobilisation variables;https://science.nasa.gov/universe/overview/building-blocks/
