Échelle;Transformation;Entrée ou mécanisme;Conditions;Produits ou effet;Statut;Note;Source URL
Échelle de phase;Cristallisation;Liquide, gaz ou amorphe vers cristal;Sursaturation ou refroidissement;Solide ordonné;Confirmé;Dépend de la nucléation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle de phase;Vaporisation;Liquide vers gaz;Apport d'énergie ou baisse de pression;Gaz;Confirmé;Ébullition ou évaporation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle de phase;Condensation;Gaz vers liquide ou solide;Refroidissement ou compression;Gouttelettes ou grains;Confirmé;Formation de nuages et poussières;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle de phase;Sublimation;Solide vers gaz;Pression et température adaptées;Gaz;Confirmé;Comètes et glaces;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle de phase;Dépôt;Gaz vers solide;Sursaturation;Cristal ou solide amorphe;Confirmé;Givre et grains;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle de phase;Transition vitreuse;Liquide surfondu vers verre;Refroidissement plus rapide que relaxation;Solide amorphe;Confirmé;Histoire dépendante;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle géologique;Altération chimique;Roches plus eau, gaz et organismes;Surface ou circulation de fluides;Argiles, ions, sols;Confirmé;Rend des éléments accessibles;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle géologique;Métamorphisme;Roche transformée sans fusion complète;Pression, température, fluides;Nouveaux minéraux et textures;Confirmé;Mémoire de trajectoire;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle géologique;Fusion partielle;Fraction d'une roche fond;Température, volatils, pression;Magma et résidu;Confirmé;Trie les éléments;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle géologique;Différenciation planétaire;Séparation par densité et affinités chimiques;Fusion, gravité, convection;Noyau, manteau, croûte;Confirmé par inférence et échantillons;Crée des réservoirs;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle biologique;Assimilation;Matière externe intégrée dans la biomasse;Transport et métabolisme;Molécules et structures biologiques;Confirmé;Transforme accessible en opératoire;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle biologique;Respiration cellulaire;Substrats réduits et oxydants vers ATP, CO2, eau ou autres produits;Chaînes redox et membranes;Énergie utilisable et déchets;Confirmé;Conversion couplée;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle biologique;Photosynthèse;Lumière, donneur d'électrons et carbone vers matière organique;Pigments, membranes, enzymes;Biomasse et oxydants réduits ou O2;Confirmé;Stocke une fraction de l'énergie lumineuse;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle biologique;Décomposition;Matière biologique complexe vers molécules simples et minéraux;Décomposeurs et conditions adaptées;Nutriments, gaz, humus;Confirmé;Remobilise la matière;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle biologique;Biominéralisation;Organisme contrôle la précipitation minérale;Matrice organique et ions;Os, coquilles, magnétite et autres;Confirmé;Architecture organo-minérale;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle astrophysique;Accrétion;Matière tombe et s'organise autour d'un potentiel gravitationnel;Dissipation de moment angulaire;Disque, étoile, planète, objet compact;Confirmé;Convertit énergie gravitationnelle;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle astrophysique;Éjection et vent;Matière expulsée d'un objet;Pression, rayonnement, magnétisme ou explosion;Milieu enrichi;Confirmé;Redistribue éléments et poussières;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle astrophysique;Explosion de supernova;Étoile ou naine blanche libère matière et énergie;Effondrement ou emballement thermonucléaire;Éjecta, noyaux, poussières;Confirmé;Nucléosynthèse et dispersion;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle astrophysique;Formation de poussières;Gaz refroidi vers grains solides;Sursaturation et nucléation;Silicates, carbone, oxydes;Confirmé;Enveloppes stellaires et supernovas;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle ORI-C;Accessibilisation;Réservoir isolé devient atteignable par un flux ou une interface;Ouverture de voie, gradient ou transport;Matière accessible;Concept opératoire;Ne garantit pas la mobilisation;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle ORI-C;Mobilisation;Matière accessible est déplacée, dissoute, transportée ou transformée;Énergie, mécanisme et cinétique suffisants;Flux effectif de matière;Concept opératoire;Doit être quantifiée;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle ORI-C;Incorporation opératoire;Matière mobilisée entre dans une architecture qui contribue à sa persistance;Compatibilité structurelle et régulation;Composant fonctionnel;Concept opératoire;Distingue présence et fonction;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
Échelle ORI-C;Séquestration;Matière devient moins accessible ou isolée;Enfouissement, précipitation, compartimentation;Réservoir protégé;Concept opératoire;Réduit la fraction mobilisable;https://pubchem.ncbi.nlm.nih.gov/docs/compounds
