relation_id,source_stage,target_stage,relation_type,directness,source_ids,scope
R-QE-16,GC-QE16,GC-QE17,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S020;S017,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-17,GC-QE17,GC-QE18,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S017;S018,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-18,GC-QE18,GC-QE19,qualified_genealogical_order,cross_system_analogue_or_mechanism,S018;S021;S022;S023;S025,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-19,GC-QE19,GC-QE20,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S021;S022;S023;S025,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-20,GC-QE20,GC-QE21,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S025;S026,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-21,GC-QE21,GC-QE22,qualified_genealogical_order,empirical_sequence_without_unique_dynamics,S026;S027,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-22,GC-QE22,GC-QE23,same_history_or_archive_order,same_system_or_material_archive,S027;S028,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-23,GC-QE02,GC-QE04,qualified_genealogical_order,cross_system_analogue_or_mechanism,S003;S004;S010;S030;S031,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-24,GC-QE03,GC-QE04,same_history_or_archive_order,same_system_or_material_archive,S029;S010;S030;S031,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-25,GC-QE05,GC-QE08,qualified_genealogical_order,cross_system_analogue_or_mechanism,S005;S008;S009;S033,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-26,GC-QE06,GC-QE07,qualified_genealogical_order,cross_system_analogue_or_mechanism,S006;S007,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-27,GC-QE07,GC-QE08,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S007;S008;S009;S033,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-28,GC-QE08,GC-QE10,qualified_genealogical_order,cross_system_analogue_or_mechanism,S008;S009;S033;S011;S012;S013;S015,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-29,GC-QE09,GC-QE12,qualified_genealogical_order,cross_system_analogue_or_mechanism,S024;S031;S032,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-30,GC-QE10,GC-QE12,solar_system_archive_relation,same_system_or_material_archive,S011;S012;S013;S015;S031;S032,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-31,GC-QE10,GC-QE13,solar_system_archive_relation,same_system_or_material_archive,S011;S012;S013;S015;S016,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-32,GC-QE11,GC-QE17,solar_system_archive_relation,same_system_or_material_archive,S014;S017,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-33,GC-QE13,GC-QE17,solar_system_archive_relation,same_system_or_material_archive,S016;S017,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-34,GC-QE14,GC-QE18,solar_system_archive_relation,same_system_or_material_archive,S016;S018,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-35,GC-QE15,GC-QE19,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S019;S021;S022;S023;S025,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-36,GC-QE16,GC-QE19,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S020;S021;S022;S023;S025,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-37,GC-QE19,GC-QE20,observational_or_experimental_correspondence,cross_system_analogue_or_mechanism,S021;S022;S023;S025,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-38,GC-QE17,GC-QE21,same_history_or_archive_order,empirical_sequence_without_unique_dynamics,S017;S026,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-39,GC-QE10,GC-QE22,solar_system_archive_relation,same_system_or_material_archive,S011;S012;S013;S015;S027,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
R-QE-40,GC-QE22,GC-QE23,same_history_or_archive_order,same_system_or_material_archive,S027;S028,Relation de recherche qualifiée; ne sélectionne aucune trajectoire dynamique unique et n’utilise aucune simulation comme preuve.
