source_id;year;authors;title;journal;doi;url;source_type;evidence_mode;stages;key_support;caveat
SRC-GC-011;2025;Barnes et al.;The variety and origin of materials accreted by Bennu’s parent asteroid;Nature Astronomy 9, 1785–1802;10.1038/s41550-025-02631-6;https://doi.org/10.1038/s41550-025-02631-6;article primaire, échantillons retournés;NanoSIMS + géochimie sur Bennu;GC-004|GC-008|GC-012|GC-016;Bennu conserve grains présolaires de plusieurs sources stellaires, organiques et solides réfractaires.;"Le parent de Bennu a subi une altération aqueuse; l'article reconstruit les matériaux primaires qui ont survécu."
SRC-GC-012;2025;Nguyen et al.;Abundant supernova dust and heterogeneous aqueous alteration revealed by stardust in two lithologies of asteroid Bennu;Nature Astronomy 9, 1812–1820;10.1038/s41550-025-02688-3;https://doi.org/10.1038/s41550-025-02688-3;article primaire, échantillons retournés;isotopes de grains présolaires;GC-004|GC-016;Les grains présolaires de Bennu documentent des sources stellaires et une survie jusqu'au corps parent.;"Article corrigé en février 2026; ne pas extrapoler les proportions au disque entier."
SRC-GC-013;2025;Leemker et al.;Pristine ices in a planet-forming disk revealed by heavy water;Nature Astronomy;10.1038/s41550-025-02663-y;https://doi.org/10.1038/s41550-025-02663-y;article primaire;observation ALMA, analogue externe;GC-006|GC-008;D2O/H2O dans V883 Ori soutient l'héritage d'eau formée avant le disque.;"Analogue extrasolaire; ne mesure pas directement le nuage protosolaire."
SRC-GC-014;2026;van Kooten et al.;Isotopic imprints of late molecular cloud infall in the outer Solar System;Nature Astronomy;10.1038/s41550-026-02927-1;https://doi.org/10.1038/s41550-026-02927-1;article primaire;isotopes météoritiques + modèle de mélange;GC-005|GC-008|GC-009|GC-021;Les systématiques Si-Mg-Fe-Cr sont interprétées comme un apport tardif de matière de nuage moléculaire dans le disque externe.;"Le >30 % est une inférence du modèle présenté; le scénario révise le paradigme et doit rester distingué de la mesure isotopique brute."
SRC-GC-015;2009;Trinquier et al.;Origin of nucleosynthetic isotope heterogeneity in the solar protoplanetary disk;Science 324, 374–376;10.1126/science.1168221;https://doi.org/10.1126/science.1168221;article primaire;isotopes météoritiques;GC-009|GC-012;Hétérogénéités nucléosynthétiques du disque enregistrées dans les météorites.;Le mécanisme précis de séparation/transport doit être inféré.
SRC-GC-016;2011;McKeegan et al.;The oxygen isotopic composition of the Sun inferred from captured solar wind;Science 332, 1528–1532;10.1126/science.1204636;https://doi.org/10.1126/science.1204636;article primaire, Genesis;échantillons de vent solaire;GC-005|GC-009;Mesure de la composition isotopique solaire de référence permettant de comparer les réservoirs planétaires.;Ne fournit pas à elle seule une chronologie de transport.
SRC-GC-017;2012;Connelly et al.;The absolute chronology and thermal processing of solids in the solar protoplanetary disk;Science 338, 651–655;10.1126/science.1226919;https://doi.org/10.1126/science.1226919;article primaire;géochronologie Pb-Pb / météorites;GC-011|GC-012;Contraint la chronologie des CAI et des chondres et le traitement thermique précoce du disque.;"Les âges datent des événements enregistrés; ils ne sélectionnent pas un mécanisme unique de chauffage des chondres."
SRC-GC-018;2023;Krestianinov et al.;Igneous meteorites suggest Aluminium-26 heterogeneity in the early Solar Nebula;Nature Communications 14, 4940;10.1038/s41467-023-40026-1;https://doi.org/10.1038/s41467-023-40026-1;article primaire;géochronologie Pb-Pb + Al-Mg;GC-009|GC-017;Les données indiquent une hétérogénéité spatiale initiale de 26Al d'un facteur 3–4 selon cette analyse.;"L'homogénéité du 26Al reste un sujet historiquement débattu; ne pas imposer un ratio unique à tous les corps."
SRC-GC-019;2007;Johansen et al.;Rapid planetesimal formation in turbulent circumstellar disks;Nature 448, 1022–1025;10.1038/nature06086;https://doi.org/10.1038/nature06086;article primaire;simulation hydrodynamique + auto-gravité;GC-014|GC-015|GC-016;Concentration par turbulence/streaming puis effondrement gravitationnel offre une voie mécanistique vers les planétésimaux.;"Résultat de simulation; conditions exactes du disque solaire ne sont pas directement observées."
SRC-GC-020;2022;Morbidelli et al.;Contemporary formation of early Solar System planetesimals at two distinct radial locations;Nature Astronomy 6, 72–79;10.1038/s41550-021-01517-7;https://doi.org/10.1038/s41550-021-01517-7;article primaire;modèle de disque + contraintes cosmochimiques;GC-014|GC-015|GC-016;Modélise la formation précoce de planétésimaux à des emplacements radiaux distincts.;Scénario de formation, non observation directe du disque solaire.
SRC-GC-021;2011;Dauphas & Pourmand;Hf–W–Th evidence for rapid growth of Mars and its status as a planetary embryo;Nature 473, 489–492;10.1038/nature10077;https://doi.org/10.1038/nature10077;article primaire;chronométrie isotopique;GC-019;Mars a grandi rapidement et constitue un exemple de relique de stade embryonnaire selon l'interprétation Hf-W-Th.;La reconstruction dépend du modèle d'accrétion et de fractionnement.
SRC-GC-022;2015;Levison, Kretke & Duncan;Growing the gas-giant planets by the gradual accumulation of pebbles;Nature 524, 322–324;10.1038/nature14675;https://doi.org/10.1038/nature14675;article primaire;simulation de formation planétaire;GC-014|GC-021;Montre une voie de croissance des noyaux géants par accrétion de galets dans certaines conditions.;Une famille de scénarios parmi plusieurs.
SRC-GC-023;2011;Walsh et al.;A low mass for Mars from Jupiter’s early gas-driven migration;Nature 475, 206–209;10.1038/nature10201;https://doi.org/10.1038/nature10201;article primaire;simulation dynamique;GC-020|GC-021|GC-022;Grand Tack: migration précoce de Jupiter peut tronquer le disque interne et affecter la masse de Mars.;"Scénario candidat; non unique."
SRC-GC-024;2005;Tsiganis et al.;Origin of the orbital architecture of the giant planets of the Solar System;Nature 435, 459–461;10.1038/nature03539;https://doi.org/10.1038/nature03539;article primaire;simulation dynamique;GC-022|GC-023;Un scénario d'instabilité/migration peut conduire d'une configuration géante initiale à des propriétés de l'architecture actuelle.;"Famille Nice; paramètres et chronologie ne sont pas uniques."
SRC-GC-025;2020;Brasser & Mojzsis;The partitioning of the inner and outer Solar System by a structured protoplanetary disk;Nature Astronomy 4, 492–499;10.1038/s41550-019-0978-6;https://doi.org/10.1038/s41550-019-0978-6;article primaire;simulation + base isotopique;GC-009|GC-021;Montre qu'un disque structuré peut séparer des réservoirs sans exiger que Jupiter soit l'unique barrière.;Important contrôle contre une attribution causale unique à Jupiter.
SRC-GC-026;2022;Izidoro et al.;Planetesimal rings as the cause of the Solar System’s planetary architecture;Nature Astronomy 6, 357–366;10.1038/s41550-021-01557-z;https://doi.org/10.1038/s41550-021-01557-z;article primaire;simulation poussière + N-corps;GC-014|GC-016|GC-019|GC-020|GC-021|GC-023;Des anneaux de planétésimaux liés à des bosses de pression peuvent reproduire plusieurs aspects orbitaux et isotopiques du Système solaire.;"Scénario candidat; ne constitue pas le raccordement unique aux conditions initiales C-AST."
SRC-GC-027;2020;Kruijer, Kleine & Borg;The great isotopic dichotomy of the early Solar System;Nature Astronomy 4, 32–40;10.1038/s41550-019-0959-9;https://doi.org/10.1038/s41550-019-0959-9;revue;synthèse cosmochimique;GC-009|GC-021;Synthèse des réservoirs NC/CC et de leur portée pour la dynamique du disque.;"Revue; ne doit pas compter comme observation primaire supplémentaire."
SRC-GC-028;2016;Goodson et al.;Chemical enrichment of the pre-solar cloud by supernova dust grains;MNRAS 462, 2777–2791;10.1093/mnras/stw1796;https://doi.org/10.1093/mnras/stw1796;article primaire;simulation hydrodynamique poussières + SLR;GC-003|GC-004|GC-005|GC-006;"Teste un mécanisme de transport de radionucléides stellaires par grains vers un nuage moléculaire dense; grains ≥1 µm efficaces dans le modèle.";"Simulation de scénario d’injection; ne prouve pas que ce mécanisme fut celui du nuage protosolaire."
SRC-GC-029;2020;Pineda et al.;A protostellar system fed by a streamer of 10,500 au length;Nature Astronomy 4, 1158–1163;10.1038/s41550-020-1150-z;https://doi.org/10.1038/s41550-020-1150-z;article primaire;observation NOEMA + ALMA;GC-006|GC-007|GC-008;Observe un flux de matière chimiquement fraîche >10 500 au reliant l’environnement externe aux échelles proches du disque dans un jeune système.;"Analogue protostellaire; ne mesure pas le nuage protosolaire."
SRC-GC-030;2020;Segura-Cox et al.;Four annular structures in a protostellar disk less than 500,000 years old;Nature 586, 228–231;10.1038/s41586-020-2779-6;https://doi.org/10.1038/s41586-020-2779-6;article primaire;observation radio-interférométrique;GC-008|GC-009|GC-014;Montre que des sous-structures annulaires peuvent exister très tôt dans l’évolution d’un disque protostellaire.;La présence d’anneaux ne détermine pas à elle seule leur mécanisme ni leur équivalent exact dans le disque solaire.
SRC-GC-031;2017;Kruijer et al.;Age of Jupiter inferred from the distinct genetics and formation times of meteorites;PNAS 114, 6712–6716;10.1073/pnas.1704461114;https://doi.org/10.1073/pnas.1704461114;article primaire;isotopes Mo-W + chronométrie + interprétation dynamique;GC-009|GC-021;"Deux réservoirs météoritiques génétiquement distincts restent séparés ~1 à 3–4 My; l’article interprète Jupiter comme mécanisme plausible de séparation.";"L’attribution à Jupiter est une interprétation; un disque structuré offre un mécanisme concurrent."
SRC-GC-032;2016;Morbidelli et al.;Fossilized condensation lines in the Solar System protoplanetary disk;Icarus 267, 368–376;10.1016/j.icarus.2015.11.027;https://doi.org/10.1016/j.icarus.2015.11.027;article primaire;modèle dynamique + thermodynamique du disque;GC-010|GC-014|GC-021;Montre comment refroidissement, dérive et barrières de pression peuvent figer l’accessibilité radiale de glaces/solides dans un disque.;"Scénario modèle; dépend de l’évolution thermique et de la présence/masse d’une barrière."
SRC-GC-033;2012;Lambrechts & Johansen;Rapid growth of gas-giant cores by pebble accretion;A&A 544, A32;10.1051/0004-6361/201219127;https://doi.org/10.1051/0004-6361/201219127;article primaire;simulation + modèle analytique;GC-014|GC-019|GC-021;Quantifie des régimes d’accrétion de galets capables d’accélérer fortement la croissance de noyaux géants sous conditions définies.;"Mécanisme modèle; efficacité dépend du rapport poussière/gaz, tailles, pression et graines initiales."
SRC-GC-034;2018;Andrews et al.;The Disk Substructures at High Angular Resolution Project (DSHARP). I;ApJL 869, L41;10.3847/2041-8213/aaf741;https://doi.org/10.3847/2041-8213/aaf741;article primaire + données;ALMA, continuum 1.25 mm;GC-008|GC-009|GC-014;Les sous-structures de poussières sont fréquentes dans l’échantillon DSHARP de disques brillants et massifs, à des échelles directement pertinentes pour la formation planétaire.;"Échantillon sélectionné de 20 disques brillants; les sous-structures n’identifient pas un mécanisme unique."
SRC-GC-035;2007;Ormel, Spaans & Tielens;Dust coagulation in protoplanetary disks: porosity matters;A&A 461, 215–232;10.1051/0004-6361:20065949;https://doi.org/10.1051/0004-6361:20065949;article primaire;modèle de coagulation physique;GC-013|GC-014;"Quantifie la coagulation de grains poreux et le couplage poussière-gaz; la porosité modifie les trajectoires de croissance.";"Modèle de disque; ne démontre pas une trajectoire unique du Système solaire."
SRC-GC-036;2005;Baker et al.;Early planetesimal melting from an age of 4.5662 Gyr for differentiated meteorites;Nature 436, 1127–1131;10.1038/nature03882;https://doi.org/10.1038/nature03882;article primaire;chronométrie Pb-Pb + isotopes Mg;GC-017|GC-018;"Des angrites différenciées datées à 4.5662 ± 0.0001 Ga indiquent une fusion très précoce; excès de 26Mg compatibles avec un chauffage par 26Al.";"Contraint certains corps parents; ne fixe pas le destin thermique de tous les planétésimaux."
SRC-GC-037;2002;Yin et al.;A short timescale for terrestrial planet formation from Hf-W chronometry of meteorites;Nature 418, 949–952;10.1038/nature00995;https://doi.org/10.1038/nature00995;article primaire;chronométrie Hf-W météoritique;GC-018|GC-019|GC-020;Les mesures Hf-W contraignent le calendrier de séparation métal-silicate et montrent que l’assemblage/différenciation s’étale au-delà des premiers planétésimaux.;"Les temps dépendent des modèles d’accrétion et de rééquilibration; ce n’est pas une trajectoire orbitale complète."
SRC-GC-038;2020;Lebreuilly, Commerçon & Laibe;Protostellar collapse: the conditions to form dust-rich protoplanetary disks;A&A 641, A112;10.1051/0004-6361/202038174;https://doi.org/10.1051/0004-6361/202038174;article primaire;simulation de collapse gaz-poussière;GC-007|GC-008;Teste comment la dynamique des grains pendant le collapse protostellaire peut concentrer ou redistribuer la poussière avant le disque.;"Simulation générale de collapse; conditions exactes du cœur protosolaire inconnues."
SRC-GC-039;2026;Charnoz et al.;Non-equilibrium condensation of the first Solar System solids;Nature 652, 925–930;10.1038/s41586-026-10257-5;https://doi.org/10.1038/s41586-026-10257-5;article primaire;modèle cinétique de condensation confronté aux météorites;GC-010|GC-011|GC-012;"Montre que pression et vitesse de refroidissement peuvent produire trois régimes minéralogiques proches des classes de chondrites; renforce la dépendance de l’accessibilité minérale à l’histoire thermique.";"Résultat de modèle; n’établit pas que ce mécanisme explique seul toutes les classes météoritiques."
SRC-GC-040;2020;Ek et al.;The origin of s-process isotope heterogeneity in the solar protoplanetary disk;Nature Astronomy 4, 273–281;10.1038/s41550-019-0948-z;https://doi.org/10.1038/s41550-019-0948-z;article primaire;isotopes Pd de groupes de météorites de fer;GC-004|GC-005|GC-009;"Les variations nucléosynthétiques entre astéroïdes et planètes sont reliées à une distribution hétérogène de poussières stellaires; données Pd sur six groupes de météorites de fer.";L’interprétation du mécanisme de tri/mélange doit rester séparée de la mesure isotopique.
SRC-GC-041;2019;Budde, Burkhardt & Kleine;Molybdenum isotopic evidence for the late accretion of outer Solar System material to Earth;Nature Astronomy 3, 736–741;10.1038/s41550-019-0779-y;https://doi.org/10.1038/s41550-019-0779-y;article primaire + données;isotopes Mo + modèle d’accrétion;GC-020|GC-022|GC-023;La composition Mo du manteau primitif se place entre réservoirs NC et CC et soutient une contribution tardive de matière carbonée à la croissance terrestre.;Le lien précis avec une instabilité des géantes est une interprétation dynamique, pas une mesure directe de l’événement.
