id;transition;regime_num;regime_nom;fenetre_ou_ancrage_principal;domaine_ouvert;domaine_ferme;statut_methodologique
TR-025;Recyclage tectonique global;5;Architectures planétaires;"Indices de mobilité vers 3,35 Ga; origine débattue";Couplage durable surface-manteau;;"Inféré; chronologie controversée"
TR-026;Altération aqueuse et argiles;6;Diversification minérale;Dès que l'eau interagit durablement avec les roches;Surfaces ioniques, adsorption et catalyse;;"Observé; ancienneté inférée"
TR-027;Précipitation chimique à grande échelle;6;Diversification minérale;"Océans et atmosphères planétaires; processus récurrent";Carbonates, évaporites, oxydes et BIF;;Inféré à partir d'archives
TR-028;Phases de haute pression et de choc;6;Diversification minérale;"Impacts, enfouissement et subduction; récurrent";Nouveaux réseaux cristallins;;Observé naturellement et expérimentalement
TR-029;Oxygénation durable de la surface;6;Diversification minérale;"Terre: ~2,5 à 2,3 Ga; archives redox";Domaines minéralogiques oxydés;"Habitats de surface strictement anaérobies ; voies de synthèse organique abiotique en atmosphère réductrice.";Inféré à partir de plusieurs archives
TR-030;Biominéralisation contrôlée;6;Diversification minérale;"Après l'apparition du vivant; multiples lignées";Composites organo-minéraux;;"Observé; histoire reconstruite"
TR-031;Synthèse couplée de précurseurs biologiques;7;Voies prébiotiques;"Aucune date historique établie; laboratoire";Inventaires compatibles de monomères;;Produit expérimentalement
TR-032;Concentration, activation et polymérisation;7;Voies prébiotiques;"Aucune date historique établie; laboratoire";Chaînes catalytiques ou informationnelles;;"Produit partiellement; contexte naturel ouvert"
TR-033;Auto-assemblage de compartiments;7;Voies prébiotiques;"Aucune date historique établie; laboratoire";Milieux internes sélectionnables;;Produit expérimentalement
TR-034;Réseaux autocatalytiques et protométabolismes;7;Voies prébiotiques;"Aucune date historique établie; scénarios candidats";Entretien réactionnel par flux;;"Produit partiellement; histoire hypothétique"
TR-035;Catalyse ARN et copie dirigée par matrice;7;Voies prébiotiques;"Aucune date historique établie; laboratoire";Couplage entre séquence et catalyse;;"Produit partiellement; autonomie hypothétique"
TR-036;Établissement du code et de la traduction;8;Vivant;"Avant LUCA; date et enchaînement inconnus";Production de protéines à partir de séquences;"Réassignations majeures du code ; architectures de traduction alternatives, rendues très coûteuses.";"Reconstruit; origine ouverte"
TR-037;LUCA;8;Vivant;"~4,2 Ga proposé; modèle phylogénétique";Ancêtre commun des cellules actuelles;;Reconstruit phylogénétiquement
TR-038;Photosynthèse oxygénique;8;Vivant;"Antérieure à la Grande Oxygénation; date débattue";Utilisation de l'eau et transformation redox planétaire;;Reconstruit par génomique et archives
TR-039;Endosymbiose mitochondriale;8;Vivant;"Paléoprotérozoïque; fenêtre encore discutée";Cellule eucaryote compartimentée;;Reconstruit
TR-040;Multicellularités complexes indépendantes;8;Vivant;Apparitions multiples, surtout Protérozoïque-Phanérozoïque;Différenciation, tissus et coopération somatique;Autonomie de reproduction et de dispersion des cellules devenues somatiques.;"Observé; histoire reconstruite"
