source;target;relation;code_cible;note_codage;portee_du_lien;niveau_preuve;mode_preuve;justification;limite_interpretative;reference_cle
TR-006;TR-010;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Observation + reconstruction;L’évolution des étoiles massives rend possible la formation d’étoiles à neutrons et leurs fusions ultérieures.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";"Klessen & Glover (2023); Watson et al., Nature 574, 497-500 (2019), doi:10.1038/s41586-019-1676-3."
TR-009;TR-013;MATR;MATR;;fourniture de constituants;Établi;Observation;L’enrichissement stellaire fournit le carbone, l’azote et l’oxygène nécessaires à la chimie interstellaire carbonée.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Burbidge et al. (1957); McGuire et al., Science 371, 1265-1269 (2021), doi:10.1126/science.abb7535."
TR-008;TR-014;MATR;MATR;;fourniture de constituants;Plausible;Observation + simulation;Les poussières issues notamment des étoiles AGB fournissent des surfaces sur lesquelles se déposent les manteaux de glace.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Zinner (2014); Nittler & Ciesla, Annual Review of Astronomy and Astrophysics 54, 53-93 (2016), doi:10.1146/annurev-astro-082214-122505."
TR-014;TR-015;ENBL;ENBL;;ouverture ou dépendance;Établi;Observation + expérimentation;La chimie de surface et le réchauffement des glaces ouvrent des voies vers plusieurs molécules organiques complexes.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";"Sewiło et al., ApJL 853, L19 (2018), doi:10.3847/2041-8213/aaa079; McGuire et al. (2021)."
TR-008;TR-016;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les étoiles AGB constituent une source importante de grains présolaires.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Zinner (2014); Nittler & Ciesla (2016), doi:10.1146/annurev-astro-082214-122505."
TR-016;TR-017;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les grains et le gaz enrichi fournissent les constituants incorporés dans les CAI.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";Connelly et al., Science 338, 651-655 (2012), doi:10.1126/science.1226919.
TR-016;TR-019;MATR;MATR;;fourniture de constituants;Plausible;Simulation + observation;Les grains solides participent au réservoir de particules susceptible d’être concentré collectivement dans les disques.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";Johansen et al., Nature 448, 1022-1025 (2007), doi:10.1038/nature06086.
TR-019;TR-020;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Simulation + reconstruction;La concentration collective des galets peut conduire à l’effondrement gravitationnel en planétésimaux puis à la croissance d’embryons.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";Johansen et al. (2007), doi:10.1038/nature06086.
TR-020;TR-021;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction;La croissance des corps et l’énergie d’accrétion rendent possible la différenciation métal-silicate.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";"Connelly et al. (2012); archives isotopiques des météorites différenciées."
TR-020;TR-022;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction + simulation;L’accrétion, les impacts et les radionucléides peuvent produire des océans magmatiques.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";Elkins-Tanton, Annual Review of Earth and Planetary Sciences 40, 113-139 (2012), doi:10.1146/annurev-earth-042711-105503.
TR-022;TR-023;ENVR;ENVR;;transformation environnementale;Plausible;Reconstruction + simulation;Sur Terre, le refroidissement, la cristallisation, le dégazage et les apports volatils ont rendu possible une hydrosphère ancienne. Pour les exoplanètes rocheuses, les hydrosphères restent des scénarios de modèle.;Établi pour l’existence d’eau liquide ancienne sur Terre, mais aucune hydrosphère n’est détectée sur TRAPPIST-1e ni sur une exoplanète rocheuse tempérée comparable.;"Wilde et al., Nature 409, 175-178 (2001), doi:10.1038/35051550; Vulpius et al., Nature Reviews Earth & Environment 7, 412-426 (2026), doi:10.1038/s43017-026-00803-0."
TR-022;TR-024;ENVR;ENVR;;transformation environnementale;Établi;Observation + reconstruction;Le dégazage des réservoirs internes peut produire une atmosphère secondaire. JWST soutient fortement une atmosphère volatile sur 55 Cancri e, possiblement couplée à un océan magmatique.;"La composition, la pression, la stabilité et le renouvellement de l’atmosphère de 55 Cancri e restent dépendants des modèles; le dégazage continu n’est pas observé directement.";"Hu et al., Nature 630, 609-612 (2024), doi:10.1038/s41586-024-07432-x; exemples du Système solaire."
TR-021;TR-025;ENBL;ENBL;;ouverture ou dépendance;Plausible;Reconstruction;Une planète différenciée possédant manteau et croûte fournit l’architecture nécessaire à un recyclage tectonique global.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";Houchin et al., PNAS 123, e2525466123 (2026), doi:10.1073/pnas.2525466123.
TR-023;TR-026;ENBL;ENBL;;ouverture ou dépendance;Établi;Observation + expérimentation;L’eau liquide rend possible l’altération aqueuse et la formation d’argiles.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";"Wilde et al. (2001); Hazen et al., American Mineralogist 93, 1693-1720 (2008), doi:10.2138/am.2008.2955."
TR-023;TR-027;ENBL;ENBL;;ouverture ou dépendance;Établi;Observation + reconstruction;Les hydrosphères permettent le transport, la concentration et la précipitation chimique à grande échelle.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";"Archives sédimentaires et géochimiques; Hazen et al. (2008)."
TR-021;TR-028;ENBL;ENBL;;ouverture ou dépendance;Établi;Observation + expérimentation;Les impacts, l’enfouissement et les gradients internes des corps différenciés ouvrent des domaines de haute pression et de choc.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible.";Observations minéralogiques naturelles et expériences de haute pression.
TR-038;TR-029;ENVR;ENVR;;transformation environnementale;Fortement inféré;Observation + reconstruction;La photosynthèse oxygénique transforme progressivement l’état redox des océans, de l’atmosphère et des surfaces.;La production biologique d’O2 précède l’oxygénation atmosphérique durable, avec un long décalage et d’autres contrôles géochimiques.;Planavsky et al., Nature Geoscience 7, 283-286 (2014), doi:10.1038/ngeo2122.
TR-036;TR-030;DEPG;DEPG;;dépendance fonctionnelle générale, non causale historiquement;Établi;Observation + reconstruction;Toute biominéralisation biologique connue mobilise une machinerie d’expression et de régulation génétiques, donc suppose déjà un code et une traduction fonctionnels. Le lien signale cet arrière-plan fonctionnel général.;L’apparition du code génétique ne produit pas directement la biominéralisation. La flèche ne décrit ni son origine historique, ni un mécanisme spécifique de nucléation ou de croissance minérale.;"de la Torre & Chin, Nature Reviews Genetics 22, 169-184 (2021), doi:10.1038/s41576-020-00307-7; littérature sur la biominéralisation."
TR-026;TR-031;CATL;CATL;;contribution catalytique;Plausible;Expérimentation + hypothèse;Les surfaces minérales et argileuses peuvent concentrer ou catalyser certaines chimies de précurseurs, sans établir la voie historique réelle.;"Indique une accélération ou facilitation possible; la voie historique réelle peut différer. La séquence historique réelle sur la Terre primitive demeure non démontrée.";"Patel et al., Nature Chemistry 7, 301-307 (2015), doi:10.1038/nchem.2202; scénarios minéraux candidats."
TR-031;TR-032;MATR;MATR;;fourniture de constituants;Plausible;Expérimentation + hypothèse;Les précurseurs compatibles fournissent les monomères nécessaires aux étapes de concentration, activation et polymérisation.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs. La séquence historique réelle sur la Terre primitive demeure non démontrée.";Patel et al. (2015), doi:10.1038/nchem.2202.
TR-031;TR-033;MATR;MATR;;fourniture de constituants;Plausible;Expérimentation + hypothèse;Les précurseurs lipidiques ou amphiphiles fournissent les constituants nécessaires à l’auto-assemblage de compartiments.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs. La séquence historique réelle sur la Terre primitive demeure non démontrée.";Adamala & Szostak, Nature Chemistry 5, 495-501 (2013), doi:10.1038/nchem.1650.
TR-032;TR-034;ENBL;ENBL;;ouverture ou dépendance;Plausible;Expérimentation + hypothèse;La concentration et la polymérisation ouvrent la possibilité de réseaux autocatalytiques plus intégrés.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible. La séquence historique réelle sur la Terre primitive demeure non démontrée.";Hordijk & Steel, Journal of Systems Chemistry 6, 1 (2015), doi:10.1186/s13322-014-0006-2.
TR-032;TR-035;ENBL;ENBL;;ouverture ou dépendance;Plausible;Expérimentation + hypothèse;La production de polymères nucléotidiques est un préalable à la catalyse ARN et à la copie dirigée par matrice.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible. La séquence historique réelle sur la Terre primitive demeure non démontrée.";van Nies et al., Nature Communications 9, 1583 (2018), doi:10.1038/s41467-018-03926-1.
TR-035;TR-036;ENBL;ENBL;;ouverture ou dépendance;Hypothétique;Expérimentation + hypothèse;La catalyse ARN et la copie constituent des mécanismes candidats en amont de l’établissement du code et de la traduction.;"Indique une ouverture ou un préalable dans ce cadre; ne signifie pas que la source suffit à produire la cible. La séquence historique réelle sur la Terre primitive demeure non démontrée.";"Koonin & Novozhilov, IUBMB Life 61, 99-111 (2009), doi:10.1002/iub.146; origine historique ouverte."
TR-036;TR-037;ENBL;ENBL;;ouverture ou dépendance;Fortement inféré;Reconstruction;"LUCA est reconstruit comme un organisme déjà doté d’un système génétique et traductionnel complexe; le code et la traduction précèdent donc logiquement LUCA.";L’âge proche de 4,2 Ga, la taille du génome, le nombre de protéines et le métabolisme acétogène proposés par Moody et al. sont des reconstructions phylogénétiques et statistiques, non des mesures directes.;Moody et al., Nature Ecology & Evolution 8, 1654-1666 (2024), doi:10.1038/s41559-024-02461-1.
TR-037;TR-038;DESC;DESC;;ascendance générale, non causale;Fortement inféré;Reconstruction;La photosynthèse oxygénique apparaît dans des lignées descendantes du vivant cellulaire dont LUCA est l’ancêtre commun reconstruit.;Lien d’ascendance générale, non causal. Aucune preuve n’indique que LUCA était photosynthétique.;"Moody et al. (2024), doi:10.1038/s41559-024-02461-1; aucune attribution de la photosynthèse à LUCA."
TR-037;TR-039;DESC;INTG;DESC décrit une ascendance simple. L'endosymbiose est l'intégration durable de deux lignées auparavant distinctes, toutes deux issues de LUCA. Le document de la branche 3 signale explicitement que DESC ne suffit pas.;ascendance générale, non causale;Fortement inféré;Reconstruction;L’endosymbiose mitochondriale survient dans une lignée eucaryote très postérieure à LUCA, au sein de la descendance cellulaire commune.;"Lien d’ascendance générale, non causal. LUCA ne possédait pas de mitochondrie; l’identité de l’hôte et le calendrier exact de l’endosymbiose restent reconstruits.";"Moody et al. (2024); reconstructions phylogénétiques de l’endosymbiose mitochondriale."
TR-039;TR-040;ENBL;ENBL;;ouverture ou dépendance;Plausible;Observation + reconstruction;L’architecture eucaryote issue de l’endosymbiose mitochondriale fournit une organisation énergétique et cellulaire compatible avec plusieurs formes de multicellularité complexe.;Cette architecture favorise certaines trajectoires sans suffire à les produire. La multicellularité est apparue indépendamment et dépend aussi de l’adhésion, de la communication, de la régulation et de l’écologie.;"Bozdag et al., Nature 617, 747-754 (2023), doi:10.1038/s41586-023-06052-1; littérature sur les origines multiples de la multicellularité."
TR-009;TR-016;MATR;MATR;;fourniture de constituants;Établi;Observation + reconstruction;Les éjecta stellaires enrichis condensent et alimentent une partie des grains présolaires.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Zinner (2014); Nittler & Ciesla (2016), doi:10.1146/annurev-astro-082214-122505."
TR-013;TR-014;MATR;MATR;;fourniture de constituants;Établi;Observation;Les molécules simples du gaz sont incorporées ou transformées dans les manteaux de glace des grains.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Galli & Palla (2013); observations de glaces interstellaires."
TR-017;TR-018;INCO;INCO;;incorporation ou trace historique, non causale;Établi;Observation + reconstruction;"Les CAI sont généralement antérieures aux chondres. Des fragments réfractaires peuvent être incorporés, remaniés ou partiellement refondus dans certains chondres; ce lien n’indique pas que les CAI produisent les chondres.";"Antériorité et incorporation ponctuelle seulement; aucune causalité générale de formation.";"Krot et al., Nature 434, 998-1001 (2005), doi:10.1038/nature03470; Connelly et al. (2012)."
TR-018;TR-019;MATR;MATR;;fourniture de constituants;Plausible;Observation + reconstruction;Les chondres contribuent à la population de solides millimétriques concentrée par les mécanismes hydrodynamiques, sans en être les seuls constituants.;"Indique une contribution matérielle; les constituants peuvent aussi provenir d’autres voies ou réservoirs.";"Connelly et al. (2012); Johansen et al. (2007)."
TR-024;TR-023;STAB;STAB;;stabilisation;Plausible;Reconstruction + simulation;Une atmosphère peut élargir le domaine de stabilité de l’eau liquide en contrôlant pression, température et redistribution thermique.;Relation de stabilité conditionnelle. Elle ne démontre aucune hydrosphère exoplanétaire et dépend de la composition, de la pression et de l’évolution de l’atmosphère.;"Modèles climatiques planétaires; aucune hydrosphère détectée sur TRAPPIST-1e."
TR-023;TR-025;CONT;CONT;;contribution possible, non suffisante;Hypothétique;Simulation + hypothèse;L’eau peut modifier la rhéologie du manteau et de la lithosphère et favoriser certaines conditions de subduction. Une hydrosphère ne suffit toutefois pas à déclencher ni à maintenir une tectonique globale.;"Relation contributive et débattue; ne pas la lire comme une condition suffisante.";Green et al., Nature 467, 448-451 (2010), doi:10.1038/nature09369.
TR-033;TR-034;STAB;STAB;;stabilisation;Plausible;Expérimentation + hypothèse;La compartimentation peut retenir des réactifs et stabiliser localement des réseaux autocatalytiques.;"Indique un effet de stabilisation partiel; il ne garantit ni permanence ni exclusivité du mécanisme.";Adamala et al., Nature Communications 7, 11041 (2016), doi:10.1038/ncomms11041.
TR-029;TR-038;FEED;FEED;;rétroaction;Plausible;Reconstruction;Après l’apparition de la photosynthèse oxygénique, l’oxygénation durable modifie les niches, les cycles nutritifs et les contraintes écologiques des lignées photosynthétiques. Il s’agit d’une rétroaction tardive, non de l’origine de la photosynthèse.;La direction historique principale reste TR-038 vers TR-029.;Planavsky et al. (2014), doi:10.1038/ngeo2122.
TR-029;TR-040;ENVR;ENVR;;transformation environnementale;Plausible;Observation + reconstruction;L’oxygénation modifie les niches et les budgets énergétiques accessibles à plusieurs multicellularités complexes, sans constituer une cause unique.;"Indique une modification du contexte; la réponse de la cible dépend d’autres variables et rétroactions.";"Bozdag et al. (2023); littérature sur l’oxygène et l’évolution de la complexité."
