test_id,decision,destination,rang_action,motif_code
S1-034,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-035,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-036,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-037,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-038,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-039,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-040,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-041,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-042,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-043,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-044,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-045,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S1-046,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-047,GARDER,noyau_probant,3,DOMAINE_ACCESSIBLE
S1-048,GARDER,noyau_probant,3,DOMAINE_ACCESSIBLE
S1-049,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S1-050,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S2-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-007,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-008,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-009,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-010,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-011,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-012,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-013,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-014,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-015,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S2-016,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S2-017,GARDER,noyau_probant,1,CONFIRMATOIRE
S2-018,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
S2-019,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S2-020,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-005,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
S3-006,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
S3-007,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
S3-008,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-009,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-010,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-011,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-012,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-013,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-014,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
S3-015,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
S3-016,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
S3-017,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S3-018,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
S3-019,GARDER,noyau_probant,2,CONTROLE_ANTI_FAUX_POSITIF
S3-020,GARDER,noyau_probant,3,INTEGRITE_CONFIRMATOIRE
M1-001,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-002,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-003,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-004,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-005,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-006,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-007,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-008,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-009,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-010,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-011,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-012,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-013,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-014,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M1-015,VIRER,qa_exploratoire,,INVENTAIRE_NON_DISCRIMINANT
M2-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M2-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M2-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M2-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M2-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M2-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M2-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M2-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M2-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M2-010,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-002,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
M3-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M3-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M3-008,GARDER,noyau_probant,3,DOMAINE_ACCESSIBLE
M3-009,GARDER,noyau_probant,3,DOMAINE_ACCESSIBLE
M3-010,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
M3-011,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-012,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M3-013,GARDER,noyau_probant,2,DOMAINE_ACCESSIBLE
M3-014,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M3-015,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
M4-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M4-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M4-009,GARDER,noyau_probant,3,DOMAINE_ACCESSIBLE
M4-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M4-011,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M4-012,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-013,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-014,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
M4-015,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
M5-001,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M5-002,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M5-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M5-004,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M5-005,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
M5-006,GARDER,noyau_probant,3,DOMAINE_ACCESSIBLE
M5-007,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
M5-008,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
M5-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
M5-010,GARDER,noyau_probant,1,CONFIRMATOIRE
P1-001,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
P1-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P1-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P1-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P1-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P1-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P1-007,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P1-008,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
P1-009,GARDER,noyau_probant,1,CONFIRMATOIRE
P1-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P2-001,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
P2-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P2-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P2-004,VIRER,qa_exploratoire,,QA_SIMULATION
P2-005,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
P2-006,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
P2-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P2-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P2-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P2-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-001,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
P3-002,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
P3-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P3-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P3-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P3-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-011,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-012,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-013,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P3-014,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
P3-015,GARDER,noyau_probant,1,CONFIRMATOIRE
P4-001,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
P4-002,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
P4-003,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
P4-004,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
P4-005,VIRER,qa_exploratoire,,ROBUSTESSE_PARAMETRIQUE
P4-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P4-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P4-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P4-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P4-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-001,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
P5-002,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-004,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P5-010,GARDER,noyau_probant,1,CONFIRMATOIRE
P6-001,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
P6-002,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-004,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-008,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
P6-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
P6-010,GARDER,noyau_probant,1,CONFIRMATOIRE
P6-011,VIRER,qa_exploratoire,,QA_SIMULATION
P6-012,GARDER,noyau_probant,1,CONFIRMATOIRE
A1-001,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-002,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-003,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-004,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-005,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-006,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-007,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-008,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-009,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A1-010,VIRER,qa_exploratoire,,QA_REPRODUCTIBILITE_NUMERIQUE
A2-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A2-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A2-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A2-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A2-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A2-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A2-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A2-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A2-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A2-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A3-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-007,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-008,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-009,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-010,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-011,GARDER,noyau_probant,1,INTERVENTION_HISTOIRE
A3-012,GARDER,noyau_probant,3,VALEUR_PREDICTIVE
A3-013,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A3-014,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A3-015,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A3-016,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-001,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-002,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-004,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-011,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A4-012,GARDER,noyau_probant,3,INTERVENTION_HISTOIRE
A5-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A5-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A5-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A5-004,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A5-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A5-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A5-007,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
A5-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A5-009,VIRER,qa_exploratoire,,QA_SIMULATION
A5-010,GARDER,noyau_probant,1,CONFIRMATOIRE
A6-001,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A6-002,GARDER,noyau_probant,1,REPLICATION_INDEPENDANTE
A6-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A6-004,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
A6-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
A6-006,GARDER,noyau_probant,1,CONFIRMATOIRE
C1-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C1-002,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-003,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-004,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-005,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-006,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-007,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-008,GARDER,noyau_probant,1,CONFIRMATOIRE
C1-009,GARDER,noyau_probant,3,REPLICATION_INDEPENDANTE
C1-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C2-001,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C2-002,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C2-003,GARDER,noyau_probant,2,CONTROLE_ANTI_FAUX_POSITIF
C2-004,VIRER,qa_exploratoire,,PREPARATION_DOCUMENTATION
C2-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C2-006,GARDER,noyau_probant,1,CONFIRMATOIRE
C2-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C2-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C2-009,GARDER,noyau_probant,3,INTEGRITE_CONFIRMATOIRE
C2-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C3-001,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-007,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-008,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-009,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-010,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-011,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-012,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-013,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-014,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-015,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-016,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C3-017,GARDER,noyau_probant,2,CONTROLE_ANTI_FAUX_POSITIF
C3-018,GARDER,noyau_probant,2,CONTROLE_ANTI_FAUX_POSITIF
C3-019,GARDER,noyau_probant,1,INTERVENTION_HISTOIRE
C3-020,GARDER,noyau_probant,1,CONFIRMATOIRE
C3-021,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C3-022,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C4-001,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-002,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-003,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-004,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-005,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-006,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-007,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-008,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-009,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-010,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-011,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-012,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-013,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-014,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C4-015,VIRER,qa_exploratoire,,REDONDANCE_MODELES_CONCURRENTS
C5-001,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C5-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C5-003,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C5-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C5-005,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C5-006,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C5-007,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C5-008,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C5-009,GARDER,noyau_probant,1,CONFIRMATOIRE
C5-010,GARDER,noyau_probant,1,CONFIRMATOIRE
C6-001,GARDER,noyau_probant,1,CONFIRMATOIRE
C6-002,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C6-003,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C6-004,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C6-005,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C6-006,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C6-007,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C6-008,VIRER,qa_exploratoire,,REDONDANCE_SOUS_ANALYSE
C6-009,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C6-010,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
C6-011,GARDER,noyau_probant,3,SOUS_TEST_NECESSAIRE
